Number of elements 912
     0 : -6.7589678e-05 -8.4140606e-05  1.8199206e-04
     1 :  2.3872352e-02 -2.6206056e-02  2.4615762e-02
     2 :  1.7426463e-03 -4.8498306e-03  2.2796753e-03
     3 : -8.5759752e-04 -1.7084257e-03 -4.1302534e-03
     4 : -2.4104608e-03 -3.5140637e-03 -3.6200279e-03
     5 : -3.2163716e-02 -6.2814182e-05  2.6271428e-02
     6 :  5.1350184e-11 -1.2205496e-09  3.9027011e-10
     7 : -9.1338791e-02 -5.9859322e-02  4.6169199e-02
     8 : -5.3037221e-03 -9.4162993e-03 -6.1548052e-03
     9 :  2.8970051e-09  1.2656353e-08 -5.8578803e-09
    10 : -1.6989928e-02  7.4556407e-04 -1.6746425e-02
    11 :  2.6827594e-10 -6.3515828e-10 -1.1305719e-11
    12 : -1.6491009e-03  1.4271021e-01 -1.5176845e-01
    13 : -5.3480156e-03 -3.0419921e-03 -2.2412044e-03
    14 : -2.2451784e-03  6.9162259e-03 -1.6579518e-03
    15 : -8.2342155e-03 -2.4245138e-04 -8.7446815e-03
    16 : -4.7728965e-11  7.2506741e-11  1.4477693e-10
    17 :  1.4016381e-06  4.8781289e-06 -4.1649884e-06
    18 :  2.2314605e-03 -8.0190389e-04  3.4784884e-03
    19 : -2.4234292e-12  1.1970481e-11 -2.3888246e-12
    20 :  9.0416986e-06  7.5789956e-06 -2.6795083e-05
    21 :  1.2386736e-03  8.3296088e-03  9.0795328e-03
    22 :  2.4379727e-03 -8.2604075e-04  4.6888071e-03
    23 :  8.5997331e-12 -4.7343936e-13 -1.4089604e-10
    24 :  1.4974025e-02 -1.5379593e-02  1.2247680e-02
    25 :  6.4420722e-13 -3.8718697e-12  1.5730104e-12
    26 : -1.5322137e-02  8.7703313e-03 -3.4568953e-03
    27 :  3.6947370e-04 -4.8832649e-03 -8.0731759e-03
    28 : -4.7896017e-03 -2.3118651e-02  1.8621381e-02
    29 :  2.5078137e-02  1.0154381e-02 -1.3379320e-02
    30 : -5.9046807e-03 -9.3258785e-03  6.1765745e-03
    31 : -3.6444510e-03  2.3966339e-03  9.4746381e-03
    32 : -1.3370418e-08 -7.2938061e-09  1.8622402e-08
    33 :  1.7152409e-04  9.2510824e-04 -4.5526380e-04
    34 : -3.0689674e-13  7.8870125e-13  1.5185172e-13
    35 : -2.1973642e-03  1.2795141e-03  7.2820852e-03
    36 : -1.8591242e-03 -1.9625087e-03 -3.3522420e-03
    37 :  8.2167762e-03  8.7987933e-03  8.7598101e-03
    38 :  1.5683577e-03  1.0474472e-02 -8.8869610e-03
    39 : -3.4065749e-03 -1.8477515e-02 -1.3085594e-02
    40 : -9.8450142e-03 -2.7612688e-01  2.9432254e-01
    41 :  1.1753032e-03  1.6508978e-01 -2.0257387e-01
