Number of elements 912
     0 :  8.5365329e-08  1.6633751e-07 -2.5679406e-07
     1 :  1.7265339e-03 -3.0390732e-03 -2.9951472e-03
     2 :  1.2298633e-02 -3.6135018e-04  6.1024384e-03
     3 : -8.3082479e-05 -2.7615099e-05  1.7065272e-04
     4 : -1.3933110e-02 -2.0058832e-02 -1.9874269e-02
     5 : -6.5059391e-02 -2.5780103e-03  2.8988841e-02
     6 : -6.2002701e-14  1.1147156e-13  9.5974226e-14
     7 : -5.7571756e-03  7.1464063e-03 -3.7727848e-03
     8 : -2.0041738e-03  1.1995154e-02 -4.4836731e-03
     9 : -1.3640792e-12 -3.6108703e-12  5.0294498e-12
    10 : -4.8614978e-03  2.1730697e-02 -2.3044876e-03
    11 : -1.8181399e-14  5.5622988e-14 -5.5846545e-15
    12 : -1.3359439e-02 -2.9001774e-02 -7.3737095e-03
    13 :  2.1229211e-02  2.6602161e-02  2.2380460e-02
    14 :  1.7965283e-06 -2.4836408e-06 -5.7720212e-06
    15 :  2.0856003e-02 -2.6623658e-03  8.3650756e-03
    16 :  3.8633164e-15 -5.5068008e-15 -7.0740719e-15
    17 :  9.1162483e-10 -1.4834277e-09  3.8797704e-09
    18 :  4.3243422e-03 -6.9975225e-03  3.2528646e-03
    19 :  3.9514424e-17 -4.7067257e-18 -1.0340587e-17
    20 : -6.4152566e-09 -8.1927681e-09  2.1081145e-08
    21 : -6.2488695e-03 -6.4998543e-03 -1.6583621e-02
    22 :  4.0264216e-04  1.9127283e-02  2.6975405e-02
    23 :  1.2425739e-16 -1.9337913e-15  1.9863146e-15
    24 :  2.5754319e-04 -2.9274655e-03 -4.0338617e-04
    25 : -1.3576540e-17 -2.5749948e-18  8.3526856e-18
    26 : -3.4783371e-03  3.1804960e-03 -4.9272295e-03
    27 :  2.5777075e-02 -6.4587067e-02 -5.2420235e-02
    28 : -9.1422855e-03 -3.5513536e-03 -1.7486435e-02
    29 :  7.2095895e-04  2.9212916e-04 -2.6972400e-03
    30 :  1.4439101e-02  5.1474155e-02 -1.4753928e-03
    31 : -3.3773817e-05 -4.3230351e-05  6.9613013e-05
    32 : -1.3845925e-12 -7.6921917e-13  4.1655037e-12
    33 :  4.8426665e-03  1.6915716e-02  9.1708145e-03
    34 :  6.1635689e-18 -1.6472892e-17 -2.5716941e-19
    35 : -2.5357695e-05 -6.7418302e-05  6.6853984e-06
    36 :  1.1611894e-02  4.1085401e-03  1.1015416e-02
    37 : -6.9475123e-03  7.0327157e-03 -1.9279984e-02
    38 : -5.5847879e-03 -2.3639349e-02 -9.5692233e-04
    39 :  9.8084113e-04 -2.7300432e-03 -4.0868557e-03
    40 : -2.7702036e-03 -1.7414238e-04 -7.5318013e-03
    41 : -6.8298913e-03 -1.1706697e-01  1.3421133e-01
    42 : -2.3311755e-16  9.1298039e-17  9.1346540e-17
    43 : -1.4094048e-08  2.7949258e-08  2.1903087e-08
    44 : -2.3012650e-02 -1.9333865e-02  4.8695526e-03
    45 : -2.1547031e-06  8.5713934e-07  2.0904633e-06
    46 :  7.7415751e-06 -2.8735592e-06  1.4623052e-06
    47 :  4.5837226e-12 -1.2947090e-12  3.7739844e-12
    48 : -1.5315713e-15  1.6624392e-14 -1.8298817e-14
    49 : -5.0320218e-03  2.8989939e-02  1.9284968e-02
    50 :  2.1895396e-02  1.5051307e-02  8.6714056e-04
    51 :  1.3548202e-02  2.0387465e-02  1.6519933e-02
    52 :  6.8209807e-03  4.6784012e-02  8.3834106e-03
    53 :  1.8615883e-13 -1.0154759e-13  6.8244163e-14
    54 : -7.4438964e-03 -5.1144459e-03  6.1692085e-03
    55 : -8.1753110e-03 -4.7229614e-03  2.2965750e-03
    56 : -2.0152891e-02 -1.0901093e-02 -2.0002073e-02
    57 :  3.7135161e-02  2.5516768e-02 -5.2560327e-02
    58 :  3.2256782e-02 -2.9236718e-01  3.3018602e-01
    59 :  1.6671194e-02  1.8935179e-02  2.4284323e-02
    60 : -3.7787579e-03 -8.4987298e-03 -2.8596175e-02
    61 : -7.6000134e-04  6.8208141e-03  8.7157863e-03
    62 : -3.5367414e-03 -2.9668025e-03  3.2468276e-04
    63 :  7.9272157e-03  4.8327550e-03 -1.5029942e-02
    64 : -6.6604819e-03  9.8671261e-03  1.3833101e-03
