Number of elements 912
     0 :  1.9218189e-07  1.4943969e-07 -4.8050038e-07
     1 :  1.5482825e-03 -2.1593956e-03 -4.1620258e-03
     2 :  1.6659812e-02  6.4752027e-03  1.0128865e-02
     3 : -1.2642067e-04  5.2908088e-06  2.7292614e-04
     4 : -3.8646798e-03 -1.1704601e-02 -1.1323310e-02
     5 : -5.0999659e-02  7.1575912e-03  4.1547339e-02
     6 : -1.0982253e-14  2.2141488e-13 -1.0367740e-13
     7 : -6.7966040e-03  1.0909751e-02 -5.8899247e-03
     8 : -1.1747029e-03  1.5889363e-02 -4.8380904e-03
     9 : -3.1867214e-12 -4.9704832e-12  1.0591132e-11
    10 : -4.4045798e-03  2.4770263e-02 -5.9421926e-04
    11 : -3.3369031e-14  1.0437745e-13  8.3927946e-15
    12 : -2.2403901e-03  2.6008804e-02 -2.5153195e-02
    13 :  1.5356147e-02  2.8991092e-02  1.8837745e-02
    14 : -9.4740316e-06  2.7255909e-05 -1.0638715e-05
    15 :  1.8082168e-02 -5.9749341e-03  2.8980632e-03
    16 :  3.6436286e-15 -1.0797893e-14 -5.8869679e-15
    17 :  2.1321966e-09 -1.7610203e-09  2.5066036e-09
    18 :  2.3071880e-03 -7.2379540e-03  3.0958808e-03
    19 :  1.3340066e-16 -1.6983823e-16  2.1824416e-17
    20 : -1.0780992e-08 -7.8588345e-09  3.2805021e-08
    21 : -9.0334950e-03 -5.8449155e-03 -1.3141179e-02
    22 : -5.9861516e-03  1.5582386e-02  2.5858203e-02
    23 : -4.8232917e-16 -3.4698097e-15  5.5639537e-15
    24 : -1.7815076e-05 -2.5133323e-03 -8.7510560e-04
    25 : -2.6606103e-17  2.8734793e-17 -3.8413965e-18
    26 : -3.6299985e-03  8.1007705e-03 -4.2654463e-03
    27 :  1.5822075e-02 -6.8379076e-02 -5.3808269e-02
    28 : -5.8640048e-03  7.9803196e-03 -2.3748520e-02
    29 :  7.1642093e-04 -4.8849451e-05 -2.9712900e-03
    30 :  1.8469011e-02  4.8748723e-02  3.4738695e-03
    31 : -6.4183384e-05 -2.6101166e-05  1.2669323e-04
    32 : -8.1345127e-13 -3.3565277e-13  3.5974226e-12
    33 :  6.2405140e-03  1.5526280e-02  9.0270984e-03
    34 :  1.0350047e-17 -2.5979291e-17 -3.9648419e-18
    35 : -4.2952433e-05 -7.5520357e-05  5.9720355e-05
    36 :  1.4424295e-02  8.7862334e-03  1.1147781e-02
    37 : -2.6823851e-03  1.1048394e-02 -1.4626362e-02
    38 : -8.0876472e-03 -1.9924781e-02 -8.6342100e-03
    39 :  3.7773810e-04 -3.2153358e-03 -4.5506457e-03
    40 : -2.6787981e-03  4.4170288e-03 -1.1725194e-02
    41 : -1.1978949e-02 -1.3538897e-01  1.3892956e-01
    42 : -6.4050595e-16 -1.6266485e-17  2.7864679e-16
    43 : -3.9801200e-09  1.6756489e-08  1.7340294e-08
    44 : -1.8863726e-02 -1.5010112e-02  1.0191282e-02
    45 : -4.0823315e-06  1.9010160e-06  1.6289337e-06
    46 :  8.6632375e-06 -2.7339245e-06  3.2835097e-06
    47 :  2.3784065e-12  2.1698688e-12 -2.9453761e-13
    48 : -1.1521723e-15  4.5481563e-14 -2.9775231e-14
    49 : -3.4797039e-03  2.9020376e-02  2.2408906e-02
    50 :  2.1243460e-02  1.3194432e-02  2.9411658e-03
    51 :  8.7763217e-03  1.4352174e-02  7.4477177e-03
    52 :  1.2570095e-02  3.7959496e-02  1.2647873e-02
    53 :  3.6436621e-13 -1.5009188e-13  1.8739961e-14
    54 : -6.3253424e-03 -4.8916443e-03  5.8243599e-03
    55 : -8.6280465e-03 -5.2246137e-03  3.0674839e-03
    56 : -1.2524163e-02  6.9081692e-04 -9.4027925e-03
    57 :  2.8458699e-02  1.9759991e-02 -5.9665894e-02
    58 :  1.9465533e-02 -3.1853637e-01  3.3870304e-01
    59 :  1.2512186e-02  1.3939285e-02  2.4983257e-02
    60 : -9.5520856e-03 -1.3271034e-02 -2.5359091e-02
    61 : -2.7824959e-03  1.1098616e-02  6.6958011e-03
    62 : -2.8333223e-03 -2.7643066e-03 -4.6291044e-04
    63 :  1.0948302e-02  9.6573207e-03 -1.1763245e-02
    64 : -8.8998591e-03  1.3860410e-02  4.6929915e-03
    65 :  3.9665073e-04  2.1710257e-04  2.2863256e-04
    66 :  2.6320062e-05  1.6846703e-04 -4.9828149e-05
    67 :  2.2537733e-13 -4.0907035e-13 -4.8380301e-13
    68 : -5.9696040e-14  1.9706322e-13 -4.2234143e-14
    69 :  3.3758338e-13 -4.6058263e-13 -5.4248421e-13
    70 : -7.0764637e-07  5.5343916e-06  6.3357132e-06
    71 : -2.0969220e-02  2.4882364e-03  2.5283351e-03
    72 :  1.0774281e-15 -3.5389755e-15  1.1568089e-15
    73 : -4.4348570e-02 -1.8183679e-03 -5.2047486e-03
    74 : -1.4688346e-09  1.6328245e-08 -7.9020565e-09
    75 : -3.0579079e-10  2.3289732e-10  2.6809196e-10
    76 :  1.1622375e-15 -3.8302828e-15  8.7519594e-16
    77 : -5.3960788e-11  6.3233923e-10  5.1773129e-11
    78 : -1.2598052e-12  4.9229568e-12 -1.5797004e-12
    79 :  5.6505682e-08 -2.9664503e-08  6.9425474e-08
    80 : -1.5454438e-23  1.1467745e-20 -3.0651260e-21
    81 :  3.1263187e-13  4.4859738e-11 -2.0479621e-11
    82 :  4.4801607e-03  2.1574049e-01 -1.9440933e-01
    83 :  9.6715917e-19 -5.6820049e-18  5.1749451e-18
    84 :  2.6405377e-17 -2.7585287e-16  1.4233071e-16
    85 :  3.0630308e-02  1.4976593e-01 -8.3185699e-02
    86 : -3.1171636e-09 -2.5633876e-09  1.0163938e-08
    87 : -4.1260148e-10  2.0965390e-08  5.0621979e-09
    88 : -1.9861064e-03 -1.9228428e-03  1.5716854e-03
    89 :  9.3813223e-03  1.1397128e-02 -2.4657430e-03
    90 :  4.7741041e-15  9.8656151e-15 -6.8864272e-15
    91 : -2.8192991e-03 -1.4162099e-02 -1.1532851e-02
