Number of elements 912
     0 : -1.6910284e-04 -1.4572044e-03  1.0805361e-04
     1 :  2.9004569e-03 -5.0854416e-03 -3.5048213e-02
     2 : -8.4766515e-03 -2.1593527e-03  5.1493651e-03
     3 : -7.0439725e-04  4.5214349e-03  3.6911459e-02
     4 : -1.6542043e-03  6.0369952e-04 -3.1750837e-04
     5 :  1.4823103e-03 -1.3045993e-02  1.2124080e-02
     6 :  4.2920528e-08 -6.6667540e-08 -8.6054192e-08
     7 : -1.0183190e+00 -8.8968752e-02 -1.0896449e-01
     8 :  6.0542409e-04  3.3817202e-03 -2.3788833e-03
     9 : -2.9438917e-07  4.8307641e-07  9.0326677e-07
    10 : -2.3439050e-03 -3.2786028e-03 -9.5237033e-04
    11 :  2.2481956e-08 -2.6791109e-08  1.4231427e-08
    12 :  5.4331942e-03  3.4096351e-01 -3.5408707e-01
    13 : -3.7084937e-03  2.5011681e-03 -4.0110815e-03
    14 :  7.1146258e-03 -8.6184583e-03  8.2239038e-03
    15 : -1.2816594e-03 -1.8507250e-03 -3.3969232e-03
    16 : -8.9683126e-09  5.6059997e-09  2.1178816e-08
    17 :  5.9435447e-05  5.4535124e-05  2.6143640e-04
    18 :  2.5933060e-03 -2.3266033e-03 -9.6111224e-03
    19 :  2.3859744e-11  1.4003100e-09  9.8955830e-12
    20 :  1.8256720e-04  1.4413952e-04 -9.2054218e-05
    21 : -1.6883144e-03  9.3632109e-05 -5.2194420e-04
    22 : -3.3822783e-04 -3.1129538e-03 -1.4448334e-03
    23 : -2.4786847e-09 -2.5809375e-09 -1.4315148e-08
    24 : -8.2744122e-03  4.4119171e-03 -7.4909883e-03
    25 :  1.2222145e-10 -5.5328481e-10  2.1074276e-10
    26 :  2.5641215e-03  1.1937875e-02  1.7786679e-03
    27 :  7.8942288e-03 -9.3433568e-03 -8.4469590e-04
    28 : -3.9871970e-03 -5.2401038e-02  4.8133653e-02
    29 : -2.7467435e-04 -2.8175992e-03 -1.1934061e-03
    30 : -6.4544181e-03  8.8252933e-03 -1.1164550e-02
    31 :  7.4002645e-03 -2.7420481e-03 -1.0101161e-02
    32 : -7.1753170e-07 -3.9531491e-07  5.3588911e-07
    33 : -3.1677494e-03 -2.1641656e-03 -1.8254088e-03
    34 : -4.9192503e-11  1.3137188e-10  1.9787225e-11
    35 :  9.0186066e-03  1.5029117e-03 -5.3087040e-03
    36 : -3.8120498e-04 -7.7278501e-04  4.2411009e-03
    37 : -1.6035465e-03  3.9536530e-03 -3.3398928e-04
    38 : -1.6785855e-03 -1.3433818e-03 -2.5076297e-03
    39 :  5.4834636e-03  1.6671261e-03 -2.7061083e-03
    40 : -1.6038079e-02 -2.3355317e-01  2.2530575e-01
    41 :  3.4969926e-02  1.0948174e+00 -1.5039349e+00
    42 :  8.4687845e-10  3.3072513e-12  9.7875378e-10
    43 :  1.2207457e-04 -6.9003870e-05  6.6724661e-05
    44 :  1.3127341e-03 -3.0603701e-04  3.5437156e-03
    45 :  6.0577217e-03 -2.5694243e-03  7.1819937e-03
    46 :  1.6729153e-02  5.3402939e-03  4.4329971e-03
    47 :  1.1109469e-06 -1.6443998e-06  1.6733239e-06
    48 :  1.0171499e-08 -1.2142344e-08  1.3130283e-08
    49 :  1.0896890e-03 -5.8136156e-04  2.4581823e-03
    50 : -6.3487583e-03  3.2009301e-05 -1.0748885e-03
    51 :  2.8081286e-03 -1.9120397e-04  2.2155948e-03
    52 : -8.3454982e-03  1.1520471e-02 -1.6531097e-02
    53 : -9.9952674e-08  4.6594479e-08 -1.3771810e-07
    54 :  2.5622964e-03 -9.2123854e-03 -5.8066970e-03
    55 : -6.5686548e-03 -9.7652620e-03 -5.3066181e-03
    56 :  2.0444045e-03 -2.2314701e-03  3.3930684e-03
    57 :  3.2423834e-03  7.8745767e-03 -2.3200386e-03
    58 : -4.3640956e-03 -1.2104572e-01  1.6672268e-01
    59 :  5.9482269e-04  5.8593155e-03  2.1958780e-03
    60 : -1.3453516e-03 -4.5061117e-03 -1.6336284e-03
    61 :  6.6888256e-04 -1.0038915e-03  5.2710332e-04
    62 : -3.2557097e-03 -5.1698680e-03 -6.8130086e-03
    63 :  9.3506020e-04  2.9608140e-04 -6.9044322e-03
    64 : -6.5580167e-03  3.4648846e-03  6.5532062e-03
    65 : -7.5026564e-03 -3.1347364e-03 -1.0948155e-02
    66 : -1.5080451e-02 -7.5714750e-03 -5.0501239e-03
    67 :  1.5190815e-07 -8.6628277e-08 -1.6088029e-07
    68 : -1.6792842e-08  2.1947652e-07 -8.0656506e-08
    69 :  1.5754461e-07 -1.2224848e-07 -1.4034863e-07
    70 : -2.6188921e-04 -1.1288423e-03 -5.8064024e-03
    71 :  6.7030041e-03  8.5015395e-04 -4.5939506e-03
    72 :  2.7294702e-09 -1.2799914e-08  1.1824676e-09
    73 : -6.5359737e-03 -9.9207452e-04 -5.1718064e-03
    74 : -7.4962564e-04 -8.6146063e-04  3.8262122e-04
    75 : -2.7909170e-05  3.9116018e-05  3.0389871e-05
    76 : -2.5619572e-09  1.2291668e-08 -2.8011554e-09
    77 : -9.0628222e-06 -1.1961063e-05 -2.6621677e-05
    78 : -1.3864956e-07  7.5846032e-07 -4.2766808e-08
    79 : -5.7511986e-05  3.1460196e-04 -3.9321245e-04
    80 : -3.9140260e-14  7.9840086e-13 -2.1059161e-13
    81 :  9.9994297e-06  8.3113831e-06 -6.4463006e-06
    82 : -8.2342451e-04  3.5437066e-01 -3.9824708e-01
    83 : -3.8292335e-11 -4.2160412e-11  8.9016082e-11
    84 : -4.1003856e-09  8.9891902e-09 -1.3446289e-09
    85 :  1.4022307e-02  1.8789570e-01 -1.7857460e-01
    86 :  2.1525805e-05 -3.6163698e-05  1.1819843e-04
    87 :  1.5020126e-04  3.9511854e-05 -1.2842914e-04
    88 : -1.2609769e-02 -8.6919081e-02  7.2689480e-02
    89 :  4.8752816e-03  4.2547103e-03 -1.7462165e-03
    90 : -2.7258890e-09 -4.2095947e-09  1.6777273e-09
    91 : -1.4902557e-03  1.6101918e-03  7.8201004e-04
    92 :  6.8325950e-03  3.2529447e-03  3.2787376e-03
    93 : -7.4190437e-12  2.2955704e-12  2.1395910e-12
    94 : -8.5979591e-04 -1.6266653e-05  8.9371896e-05
    95 : -1.3360029e-08  7.4391594e-09  1.6344793e-08
    96 :  4.0820957e-03  6.2820578e-03 -1.2092435e-02
    97 : -4.1607667e-03  1.3832282e-02 -1.6253529e-03
