Number of elements 912
     0 : -2.6369658e-05 -1.2740609e-03 -2.1780465e-04
     1 :  4.2587134e-03 -6.1081174e-03 -3.5157154e-02
     2 : -9.8987055e-03 -2.5877920e-03  3.6368173e-03
     3 : -1.2308674e-03  5.3251212e-03  3.5891190e-02
     4 : -1.7079054e-03  8.4813153e-04 -1.7603607e-04
     5 :  1.3475130e-03 -1.2351604e-02  1.2090852e-02
     6 :  4.3863275e-08 -5.4791998e-08 -9.2124078e-08
     7 : -9.6152094e-01 -8.5313877e-02 -1.0232345e-01
     8 :  1.4699929e-04  3.3118641e-03 -2.7061724e-03
     9 : -3.0640943e-07  4.0731575e-07  8.9865843e-07
    10 : -2.0558080e-03 -3.6596621e-03 -6.5753903e-04
    11 :  1.6665853e-08 -1.6963044e-08  1.7154859e-08
    12 :  5.2645545e-03  3.3238873e-01 -3.4530081e-01
    13 : -2.9936183e-03  2.8477330e-03 -3.5652255e-03
    14 :  7.1543238e-03 -7.9666024e-03  8.2401021e-03
    15 : -1.3540607e-03 -1.6109301e-03 -2.7874295e-03
    16 : -8.7104715e-09  3.2709679e-09  2.0772826e-08
    17 :  4.5817392e-05  3.6813607e-05  2.6039813e-04
    18 :  2.8770677e-03 -2.0840872e-03 -9.6134050e-03
    19 : -7.8374840e-11  1.4554398e-09 -1.0465267e-10
    20 :  1.5738941e-04  1.2195121e-04 -3.1687115e-05
    21 : -1.4786692e-03  1.1350667e-04 -4.4468526e-04
    22 : -5.5292368e-04 -2.8918445e-03 -1.7812880e-03
    23 : -1.2245361e-09 -1.3787980e-09 -1.5100704e-08
    24 : -8.8061574e-03  4.3245236e-03 -7.9174568e-03
    25 :  9.5916285e-11 -4.3855110e-10  1.7599236e-10
    26 :  2.5710172e-03  1.0137954e-02  4.4103456e-04
    27 :  7.9445226e-03 -7.4713809e-03 -3.6233822e-04
    28 : -3.3858497e-03 -5.1785608e-02  4.9145259e-02
    29 : -9.6505902e-04 -2.8835349e-03 -1.2655857e-03
    30 : -6.5772327e-03  9.3285847e-03 -1.1800066e-02
    31 :  7.6442975e-03 -2.1996467e-03 -9.7377951e-03
    32 : -5.7576042e-07 -3.2290107e-07  2.4270335e-07
    33 : -2.5944181e-03 -1.6523298e-03 -1.1486988e-03
    34 : -4.6390578e-11  1.1946066e-10  1.1853868e-11
    35 :  9.7576826e-03  2.4763844e-03 -4.5091988e-03
    36 : -1.1378954e-03 -1.4583418e-03  4.0760266e-03
    37 : -2.2169071e-03  3.3545081e-03 -7.6693753e-04
    38 : -1.5238229e-03 -1.3383744e-03 -1.8567901e-03
    39 :  8.4522265e-03  2.1446201e-03 -3.6012316e-03
