Number of elements 912
     0 :  5.1138171e-18 -1.8292918e-18 -9.0780452e-18
     1 :  1.7846112e-10 -4.1303392e-10  3.0779103e-11
     2 :  6.2261436e-02  5.8075289e-02 -7.1467513e-02
     3 : -4.2095848e-13  2.8861689e-13  6.1025999e-13
     4 : -2.0112663e-02  9.0500086e-02  2.5417863e-02
     5 :  4.6282114e-01  1.9256225e-01  6.1145973e-02
     6 : -7.0008856e-29 -3.6396523e-28  5.0951411e-28
     7 : -5.3962688e-10  2.5533011e-09 -1.2306407e-09
     8 : -1.2593431e-08 -5.0017944e-09  8.2027920e-09
     9 :  4.8117499e-26  5.8691247e-26 -1.5997359e-25
    10 : -1.9541114e-09 -1.1626596e-08  1.7734568e-08
    11 : -7.8097308e-29  5.8336841e-29  1.1237919e-28
    12 :  3.7341241e-01  1.1044561e-01  2.5493466e-02
    13 :  1.2115020e-06 -1.1267846e-06  1.4554659e-06
    14 :  5.5024824e-15  9.9662678e-15 -6.3190133e-15
    15 :  8.5731179e-08 -2.2489199e-07 -2.0545475e-07
    16 : -2.4350335e-30 -5.1644111e-30  9.9294284e-30
    17 :  4.9424013e-21  5.4090680e-21 -1.6431752e-20
    18 :  3.2924050e-08 -1.1082244e-07  2.3088402e-08
    19 : -2.1457283e-35  5.8686525e-36  2.4494175e-35
    20 : -7.7870711e-21  2.9145618e-20 -1.5499363e-20
    21 :  1.8411444e-06  6.0419330e-06 -1.9522013e-06
    22 : -1.0098443e-07  1.7795487e-06  2.8917406e-07
    23 : -7.6714057e-33  2.0555111e-33  9.6652508e-33
    24 : -3.7896922e-10  7.1311961e-10  6.4280138e-10
    25 :  1.9738075e-34 -5.9296721e-34  1.6669224e-34
    26 : -9.1458533e-10 -8.6138646e-10  4.2820866e-10
    27 : -1.8405089e-06  1.6483915e-06  1.8588299e-06
    28 :  8.2613524e-07  1.8976543e-06 -9.0710161e-07
    29 :  3.5895577e-11  1.2484270e-10 -2.1484112e-10
    30 :  9.1729312e-09 -2.7058520e-08  5.5819016e-09
    31 :  2.8181838e-14 -1.4777045e-13  6.6252595e-14
    32 :  1.1753230e-27  1.1203954e-27 -3.4439531e-27
    33 : -2.3942994e-05  4.1775464e-05 -2.5523894e-05
    34 :  3.4923769e-36 -3.2958440e-36 -3.9397931e-36
    35 :  7.9622907e-14 -3.1272448e-13  2.8440170e-13
    36 : -1.2419277e-01 -7.0544222e-02 -4.8584561e-02
    37 :  1.2003237e-03  5.6020325e-04 -4.1002153e-04
    38 :  1.7467855e-07  1.9889442e-06 -9.6738468e-07
    39 :  2.4073256e-11 -1.2385213e-10  1.0557498e-10
    40 : -1.8639726e-11  5.1616273e-11 -1.4794670e-11
    41 : -1.3355642e-06  2.7483539e-06 -1.7359375e-07
    42 : -1.9535737e-34 -3.4272126e-34  5.6084032e-34
    43 :  6.8489995e-19 -9.2917584e-19 -5.2236816e-19
    44 : -7.1691215e-05 -2.3417714e-04  3.8950172e-04
    45 : -5.5066135e-15  4.6584933e-16  4.5498429e-15
    46 :  2.2158496e-15 -1.6097643e-15  1.4643122e-15
    47 : -4.4724947e-27  1.2387983e-26 -2.2246742e-26
    48 : -3.4745019e-30 -1.6639144e-29  6.7106541e-30
    49 : -4.6730638e-08  2.1129906e-07 -8.7567815e-08
    50 : -3.7996380e-05  2.6625729e-05 -1.8320634e-05
    51 :  1.6062800e-01 -2.6267904e-02  3.5860809e-02
    52 : -1.6216797e-09  4.5249538e-08 -1.2842391e-08
    53 :  3.2866779e-28  8.1074244e-30 -3.7538801e-28
