Number of elements 912
     0 : -2.2657110e-38  1.7507997e-38  2.8050788e-38
     1 : -1.0509439e-22  2.4295399e-22 -3.1700548e-23
     2 :  1.0175478e+00  7.5100761e-01  9.3853232e-01
     3 :  8.2886274e-28  1.5116869e-27 -3.1909756e-27
     4 :  1.1142579e-01 -1.9256248e-02 -2.1658582e-02
     5 :  6.9867477e-04 -1.8051012e-04  9.7891115e-05
     6 :  1.4559500e-54  3.0170894e-54 -5.9360660e-54
     7 : -2.1311610e-21 -1.4592845e-20  9.6428969e-21
     8 :  1.3957197e-18 -8.0812285e-19 -2.8692328e-19
     9 :  4.9195443e-51 -2.8171606e-50  1.8162975e-50
    10 :  2.9320500e-19 -7.8273005e-20 -5.1860663e-19
    11 : -1.0125988e-55  1.9616567e-55  7.8322948e-57
    12 :  7.4273207e-03 -7.3216335e-03 -1.1638232e-02
    13 :  1.0657019e-14 -2.1365023e-15 -5.9353549e-15
    14 :  1.2381391e-30 -2.1354181e-30  3.0610592e-31
    15 : -1.0901272e-17  1.9858618e-17  3.9584295e-18
    16 :  3.4745568e-58 -5.8325855e-58 -1.1693146e-58
    17 : -2.6124587e-42  5.3324452e-42 -5.9813070e-45
    18 :  5.3458161e-18 -2.1150044e-17  7.4790314e-18
    19 :  2.7509251e-68 -3.4200003e-68 -2.1098702e-68
    20 : -3.5088793e-43 -1.2290838e-43  9.4782767e-43
    21 : -1.3432052e-15  1.5029841e-14 -1.1770539e-14
    22 : -8.1832885e-14 -5.3774857e-14  6.5258919e-14
    23 :  4.3648518e-63 -3.4209469e-63  2.5177059e-63
    24 :  1.6515871e-21 -1.2538684e-21 -2.1931280e-21
    25 : -3.7666273e-66 -4.0936478e-66  3.8878043e-66
    26 :  4.5854577e-21  2.2509984e-20 -1.3154328e-20
    27 : -1.0863550e-14  2.2316905e-14  1.2655548e-15
    28 : -4.5993428e-14  1.5522478e-13 -5.4643298e-14
    29 : -7.3324881e-26 -5.5952718e-24  5.7811613e-24
    30 :  9.0737350e-20  2.2284035e-19 -4.0525406e-19
    31 :  1.3497263e-28 -9.9042608e-29 -1.7323460e-28
    32 :  9.1419275e-56  1.1285809e-55 -3.0694227e-55
    33 :  1.0631244e-10 -6.9845276e-11 -1.7273633e-10
    34 :  7.1249128e-69 -4.9718118e-69 -9.2926281e-69
    35 : -1.4063240e-28  4.8693596e-29  2.1289296e-28
    36 :  5.4389452e-01  6.7829756e-01  1.1530686e-01
    37 :  1.0594485e-09  1.6699759e-09 -1.2416751e-09
    38 :  5.4113705e-16 -2.2284703e-15  3.8759984e-16
    39 :  9.4267105e-23  3.3079024e-23 -2.2709921e-22
    40 :  2.0845256e-26 -4.6379882e-26  9.2825790e-27
    41 : -4.9135505e-14  9.5167519e-14  4.9421568e-15
    42 : -1.2602221e-65  2.4171028e-65 -4.3474996e-66
    43 : -4.0194526e-39  1.3032438e-38 -5.0364668e-39
    44 : -1.2356082e-10 -1.4026678e-10  3.4955049e-10
    45 :  1.8744434e-31  1.8336244e-31 -5.5880142e-31
    46 : -4.5788180e-34  7.9005889e-34 -1.1386854e-33
    47 :  2.7527991e-54  1.3184610e-53 -2.9238929e-53
    48 :  5.1740602e-60  2.6852395e-56 -1.0562779e-56
    49 :  8.1403371e-17 -1.0947588e-16 -5.6843470e-17
    50 :  2.8915514e-11 -1.6377005e-10  6.6733311e-11
    51 : -4.9936368e-04  2.0216482e-04  3.4910881e-05
    52 : -8.9776790e-19  1.8843887e-18 -2.8818560e-19
    53 :  8.2598771e-55 -6.2504022e-55  3.4811403e-55
    54 : -1.1274569e-12 -9.1039203e-13  3.0456459e-12
    55 :  4.3307834e-15 -2.3465848e-13  3.3186411e-13
    56 :  1.3238929e-03 -3.0153656e-04  5.2843045e-06
    57 : -1.4352074e-16 -2.7691059e-16  6.8276460e-16
    58 :  1.7971586e-07 -3.5890563e-07 -1.4320777e-08
    59 : -2.6639982e-20 -5.7665414e-19  2.8864561e-19
