Number of elements 14133
     0 : -2.6952024e-76 -9.9242585e-77  5.8195020e-76
     1 : -1.1829607e-75 -4.9605771e-76  3.5257257e-75
     2 :  2.0085560e-39  3.2748850e-40 -9.2790369e-40
     3 :  4.0006903e-82 -2.5912877e-82  1.5302989e-82
     4 : -2.2534644e-28  6.8228580e-30  5.3577387e-28
     5 :  7.8422397e-45 -2.4965571e-45 -1.4142986e-44
     6 : -2.5380565e-76 -6.7011136e-77  9.6197764e-78
     7 :  2.7141395e-28 -1.6310852e-28  2.0378499e-28
     8 : -3.9701430e-20  7.8792052e-21  9.8828394e-20
     9 :  2.1325514e-70  5.5302493e-70 -3.1428544e-70
    10 :  1.5094854e-84 -8.8354309e-84 -1.5966216e-84
    11 : -2.2638052e-28  4.8381206e-28  4.4196711e-29
    12 :  3.2760258e-28  2.1065913e-28 -7.8272506e-28
    13 :  2.3558203e-28 -2.0964428e-29 -8.2774323e-29
    14 :  4.9487954e-91 -7.8763049e-91 -2.0842818e-91
    15 : 1.8197284e-120 -3.9524525e-119 7.7935023e-119
    16 :  5.9486087e-16 -3.9589244e-15  8.5052796e-16
    17 : -1.2468503e-16 -6.0299374e-16 -8.1702277e-17
    18 : 5.4329460e-118 -1.9278231e-118 -1.3425185e-118
    19 : -1.6411952e-23 -4.2947075e-24  3.8047467e-23
    20 :  1.2931103e-03  1.2022183e-03 -4.2999510e-03
    21 :  2.0787013e-49 -1.2352910e-48  4.4997605e-49
    22 :  1.8840777e-16 -1.1839626e-15 -1.4510662e-16
    23 :  5.4540930e-01  2.2725715e-01  2.3746741e-01
    24 : 1.0758371e-162 5.8546722e-163 -8.2972393e-163
    25 : -2.5155781e-78 -3.3036389e-78  2.8117062e-78
    26 : -7.0360493e-17  2.4603448e-17  1.6115934e-17
    27 : -1.2006671e-30  6.3482533e-31 -4.8556040e-31
    28 : 8.8147996e-137 -8.6305926e-136 3.8681294e-136
    29 : -6.1965852e-02  2.1984126e-02 -5.9062310e-02
    30 :  3.8472384e-28 -1.0475253e-28  2.0217850e-28
    31 : 8.1524379e-194 -1.0564329e-193 3.9549782e-194
    32 :  5.8545352e-45  1.3251935e-45 -3.5243713e-45
    33 : 1.3586917e-236 -4.1063229e-237 -5.3679526e-237
    34 : -3.8598717e-240 2.9617710e-240 -2.0669957e-240
    35 : 1.1653532e-146 -7.6307301e-147 -1.5848481e-146
    36 :  2.3068118e-01  1.0192691e+00  6.3545453e-02
    37 :  8.7805423e-13 -2.9138554e-13  9.0362198e-13
    38 : -2.2785868e-132 1.4381953e-131 -8.1261414e-132
    39 : -2.9588596e-105 1.8394094e-104 -1.2355129e-104
    40 : -3.7177354e-111 -3.1675298e-111 3.3703345e-111
    41 :  7.7177500e-23  7.0795894e-23 -4.1287787e-23
    42 :  2.3610233e-01  2.4931531e-01  2.8196343e-01
    43 : 7.0050181e-147 8.1689570e-147 -7.5174790e-147
    44 : -3.9881169e-132 7.3971554e-132 -1.8861962e-132
    45 : 9.4506046e-113 -7.4294933e-114 -6.7510165e-113
    46 :  1.8105382e-03  1.8398089e-03  1.1187972e-04
    47 :  2.5514150e-55 -1.5092741e-55  6.7842277e-56
    48 :  4.6780009e-63 -6.0119380e-63 -3.7106640e-63
    49 : -1.1807924e-34  2.4219877e-34  2.1659590e-34
    50 :  7.0394750e-01  7.4665229e-01  7.7407972e-01
    51 :  5.8428311e-01  4.9207547e-01  4.6148036e-01
    52 : -7.8602016e-43 -5.5702740e-43  2.2697587e-42
    53 : -1.8589266e-47  1.2715128e-48  8.0499603e-48
    54 : 1.0063538e-192 -5.4582117e-193 -1.0384871e-192
    55 :  6.7702978e-65  1.9673668e-65 -4.2385746e-65
    56 : -1.5539752e-40  4.4112259e-41  6.1216692e-41
    57 : -1.2978736e-210 1.4461374e-210 3.3797890e-211
    58 :  7.2009425e-83 -9.9937923e-83 -4.5231147e-83
    59 :  3.8662296e-23 -2.6316727e-24 -1.1166749e-23
    60 :  1.5407765e-49 -3.8006217e-50 -2.8105360e-49
    61 : -7.1434620e-82 -1.4242507e-81  2.8829651e-81
    62 : -8.2040238e-69  7.1385619e-69  9.6313640e-69
    63 : 2.9317783e-210 -2.1731625e-210 -3.7925060e-211
    64 : 1.4040418e-240 -1.6084022e-240 -1.0201877e-241
    65 :  2.4099679e-61 -1.0198743e-61 -2.4314312e-61
    66 : 1.7495026e-222 -8.7876678e-223 -4.3318943e-223
    67 : -6.1446588e-42 -2.8227050e-42  3.7702306e-42
    68 :  7.8110616e-25  7.4810699e-25 -1.3532550e-24
    69 :  1.4825278e-10 -2.1503396e-11  2.8325132e-09
    70 : -2.2354267e-23  1.2620076e-23  5.4198031e-24
    71 : 1.1936429e-177 3.5515566e-177 -4.1555929e-177
    72 : -1.1691203e-80 -2.7291566e-81  2.3204689e-80
    73 :  6.8693817e-49 -3.4500604e-50 -6.1399879e-49
    74 :  5.0695645e-42 -5.5007353e-42 -5.7318566e-42
    75 : -7.4385252e-210 -2.6443995e-210 4.5304571e-210
    76 : 9.1426745e-237 -5.0387797e-237 9.8357684e-238
    77 :  1.5198488e-01  8.8669859e-02  2.2030792e-01
    78 : 2.7261716e-105 -1.2308939e-104 2.2113482e-104
    79 :  1.1216196e-24  3.6175375e-23 -3.7394096e-23
    80 :  2.4944275e-12  7.8159318e-12 -2.5432580e-11
    81 : -1.2434383e-213 2.0428902e-213 4.4929645e-214
    82 : -2.8538067e-143 1.1557097e-143 1.0839700e-143
    83 :  3.9231500e-67  1.4735743e-68 -8.1990333e-67
    84 :  2.4795433e-18  5.2935650e-19 -1.2255798e-17
    85 : 3.4302228e-151 -3.7036225e-151 -3.2020141e-151
    86 :  2.4458775e-23 -4.0861387e-23 -3.8428905e-23
    87 : -3.5056608e-113 -4.4519321e-113 8.9484892e-113
    88 :  3.5001377e-34  1.9189245e-33 -1.0472873e-33
    89 : -6.5579992e-118 4.6616242e-117 -1.9909010e-117
    90 : -8.1186100e-83  7.6763863e-82 -3.3409422e-82
    91 : -5.0383892e-17 -5.9833921e-17  3.9544574e-17
    92 : -8.1221905e-77 -9.7232817e-77  2.6668378e-76
    93 :  2.4856690e-56  1.2181407e-56 -4.8353842e-56
    94 : -9.0548570e-166 2.2349371e-165 -6.5958074e-166
    95 : 1.1013823e-177 -9.4814432e-178 -1.1779198e-177
    96 :  3.5560387e-30 -3.2042554e-30 -4.7109298e-30
    97 : -2.4287385e-47 -6.0960913e-47  3.6090301e-47
    98 : -9.5723096e-29  1.1954983e-28  8.9562495e-29
    99 :  7.4066119e-50 -1.1235042e-50 -7.7041008e-50
   100 : 4.8662906e-147 -1.1888475e-148 -4.6305853e-147
   101 : -4.9250313e-50  7.3819971e-49  3.2980714e-49
   102 : -1.1875908e-71  5.7048056e-71 -2.1949580e-71
   103 : 2.2040318e-100 7.5745067e-100 -4.8104067e-100
   104 : -2.4455928e-19  5.2530025e-20  4.6591605e-19
   105 : 1.8238262e-132 4.1417276e-133 -4.1007882e-132
   106 : -9.0525494e-160 -7.2278329e-160 1.0919800e-159
   107 :  4.3966674e-34 -9.6742645e-33  1.7357632e-32
   108 : -3.5306943e-26  1.2658985e-26  2.0698727e-27
   109 : -6.0185524e-179 4.2380488e-179 8.9060710e-180
   110 : -3.0103462e-27  2.9191644e-27  2.8924745e-28
   111 :  1.4474443e-94  2.8407181e-95 -8.4354501e-95
   112 : -1.7016289e-95  1.0614734e-95  2.3630507e-95
   113 : -1.8137471e-75 -2.0469433e-75  5.4903903e-75
