Number of elements 14133
     0 : -3.7519309e-32  1.5399862e-32  7.0507659e-32
     1 :  2.3965853e-32  3.4226536e-32  8.8010732e-32
     2 : -5.3615082e-13  3.4570538e-14  1.4316007e-13
     3 :  6.3564654e-38 -9.4918678e-39  3.1959251e-38
     4 : -3.8931500e-11  3.8947392e-11  2.7779185e-11
     5 : -6.5128634e-19  4.5289642e-19 -1.6197838e-18
     6 : -2.7889637e-32  4.0965195e-32  1.0217582e-32
     7 : -1.8837353e-11 -4.8527460e-11 -4.0360852e-11
     8 : -6.5546358e-09  1.2220058e-08  1.0692189e-07
     9 : -9.9587758e-30 -4.9955065e-30  6.4335972e-30
    10 :  1.7458279e-38 -4.5161178e-39 -9.2461472e-39
    11 : -2.3661093e-11  2.8091248e-11 -7.2275571e-12
    12 :  4.6391268e-12  2.1778035e-12 -3.3185586e-11
    13 : -2.5002148e-11 -5.8735395e-11 -4.5320175e-11
    14 : -2.5970201e-42 -1.5137818e-42  5.9729718e-42
    15 : -5.4271099e-57  3.6042211e-56 -7.3084416e-56
    16 : -3.9867653e-03 -7.9190034e-03 -7.3416641e-03
    17 :  1.0013962e-03 -1.7553905e-03  1.6431609e-04
    18 :  2.5046387e-54 -1.6306131e-54  2.9282749e-55
    19 :  4.2452025e-07 -1.1470214e-08  3.0617767e-07
    20 : -3.5434068e-02 -2.5868724e-02 -4.2458802e-02
    21 : -7.7284323e-19  2.2350095e-18 -4.1818010e-19
    22 : -1.1861080e-05 -9.1820524e-06  4.3935890e-05
    23 : -1.0899913e-01 -8.1864977e-02 -9.5798777e-02
    24 :  1.0744640e-77  4.6845509e-78 -7.4909016e-78
    25 : -1.1973567e-33  2.5433473e-32 -1.8710034e-32
    26 :  3.1703753e-04 -3.1681720e-04 -2.0581838e-04
    27 :  1.6393920e-12 -2.6002909e-13  8.6211655e-13
    28 :  9.9243600e-67 -1.1052276e-65  4.8273689e-66
    29 : -4.5910454e-02 -5.0244157e-02 -5.1878353e-02
    30 :  9.6157288e-11  1.2611927e-10  2.2581236e-11
    31 : -3.0955746e-91 -2.7010910e-91  4.2935542e-91
    32 : -1.1871865e-20  1.3623666e-19 -7.8861129e-20
    33 : -3.7374118e-113 2.8101190e-113 4.6900094e-114
    34 : 7.8179681e-111 2.3585799e-112 -4.6801312e-111
    35 : -1.2597834e-70 -7.4433781e-71  3.7806319e-70
    36 : -1.5654656e-01 -1.4345110e-03 -2.1879934e-01
    37 : -2.6233685e-03 -9.2309164e-03 -5.4337077e-03
    38 :  5.2767369e-63 -3.5010914e-62  1.8901698e-62
    39 : -1.4784303e-51 -2.7616554e-50  2.7773633e-50
    40 :  1.6594783e-53 -1.1670446e-53 -5.5243660e-55
    41 :  1.3568642e-05  3.5038355e-05 -4.7860307e-06
    42 : -6.1338154e-02 -6.0384626e-02 -6.3924149e-02
    43 : -2.1649348e-70 -1.0973017e-70  1.3811628e-70
    44 :  7.4737236e-63 -2.6439810e-62  6.6325174e-63
    45 : -6.3837583e-53  1.0041972e-53  3.0295818e-53
    46 : -1.0554441e-01 -7.7457614e-02 -8.8348262e-02
    47 : -1.3366677e-23  2.9367191e-23 -3.4353596e-23
    48 : -1.2749797e-28  1.4460870e-28  1.7676031e-28
    49 : -7.1958273e-11  1.2323740e-10  8.4860155e-11
    50 : -1.2849767e-01 -2.4073847e-01 -6.7196597e-02
    51 : -6.1703812e-02 -3.4125450e-02 -5.4156015e-02
    52 : -1.3208883e-18 -2.3533950e-18  1.2969934e-17
    53 : -1.2575084e-21  1.8650065e-21 -4.4133491e-22
    54 :  6.8145551e-91  9.7095477e-91 -1.9638155e-90
    55 : -5.2817476e-30 -1.4949257e-30  3.5189644e-30
    56 : -4.3992803e-20 -4.7665172e-20 -2.6921835e-20
    57 : -1.6577137e-99 1.4382878e-100 7.9913586e-100
    58 : -4.1741786e-42  4.8975337e-42  3.7496922e-42
