Number of elements 14133
     0 :  1.1310344e-41  1.4440321e-41 -1.7437475e-41
     1 :  3.7751102e-41 -3.3599594e-41 -8.8642128e-41
     2 :  1.9391658e-19 -2.5843052e-19 -6.1467933e-20
     3 : -2.9032460e-45  7.8494216e-47  6.8585434e-47
     4 : -1.5227586e-15  2.1954546e-15  1.2313034e-15
     5 :  7.7704922e-24 -6.7082668e-24 -1.6548829e-23
     6 :  8.4049822e-42 -2.0567741e-41  1.0726292e-41
     7 : -7.2136395e-15 -4.0029831e-15 -8.7600028e-15
     8 :  7.1229951e-12 -3.9451465e-11 -1.0787821e-10
     9 : -4.2600240e-40  2.0858010e-38 -7.1927755e-40
    10 : -5.4545194e-46  1.1403977e-46  3.7545261e-46
    11 : -8.9439896e-16  1.2379900e-15 -1.4479972e-17
    12 : -2.6073355e-15 -2.8051091e-15  7.5571522e-16
    13 : -6.6607497e-15 -7.0864799e-15 -4.1122895e-15
    14 : -6.2385743e-51  1.3103058e-50 -4.3122483e-52
    15 : -7.1666442e-68  5.6034446e-67 -1.1526657e-66
    16 : -3.1561257e-06  2.2874906e-05  1.8137841e-06
    17 :  6.5412530e-07 -2.3698560e-06 -3.0024728e-06
    18 : -2.8499643e-65  5.9075192e-66  1.0064757e-65
    19 :  1.1998928e-10  3.4753485e-11 -2.8456994e-10
    20 :  1.0386757e-01  9.6886063e-02  8.4892911e-02
    21 : -9.6889326e-25  4.8992138e-25 -5.0088953e-25
    22 :  9.9295944e-09 -5.9300643e-08 -1.4359738e-07
    23 : -3.5824385e-01 -4.2380209e-01 -2.7498397e-01
    24 :  2.0422211e-91  1.0664054e-91 -1.5281716e-91
    25 :  4.9295069e-43  3.2260093e-41 -2.6023303e-41
    26 : -1.1883264e-07  2.9344512e-07  1.2461889e-07
    27 : -2.0671455e-16  6.6888258e-17 -7.9951171e-17
    28 : -4.5121830e-79  4.8073270e-78 -2.1358549e-78
    29 :  6.7823238e-02  3.0660899e-02  3.4050977e-02
    30 :  9.8880091e-15  1.0963909e-14  7.1604094e-15
    31 : 1.8622893e-108 -6.0195132e-108 3.7267128e-108
    32 : -8.0475010e-25 -2.9299659e-25  4.5770510e-25
    33 : -8.9203797e-135 3.0207427e-135 2.8940579e-135
    34 : 8.5554179e-133 -8.8274360e-134 -4.7271607e-133
    35 :  2.6814955e-83  2.2155827e-84 -6.1304009e-83
    36 : -1.2057993e-01 -2.0504790e-02 -1.5761816e-01
    37 :  1.1208063e-05  2.9101592e-05  1.1385542e-05
    38 : -1.2112625e-74  1.1124824e-73 -6.5403055e-74
    39 : -2.5021462e-61 -2.8690874e-60  3.1747403e-60
    40 : -2.7153354e-62  9.6757369e-63  7.2835173e-63
    41 : -2.5189479e-09 -3.8601899e-09  1.2188579e-09
    42 : -6.3820219e-02 -6.8351332e-02 -9.5082219e-02
    43 :  2.9674577e-83  1.7669257e-83 -2.1153533e-83
    44 : -2.4512226e-73  2.9910867e-73 -2.4868699e-74
    45 : -2.0995483e-63  2.8349376e-64  1.1813092e-63
    46 :  4.9761420e-02  7.2465140e-02  6.4797783e-02
    47 : -1.9134513e-29  2.9385869e-29 -2.9402063e-29
    48 :  9.8198536e-35 -1.1300604e-34 -1.4648193e-34
    49 : -6.3356696e-17  2.7442164e-16  2.6368199e-16
    50 : -2.7045469e-01 -2.6734604e-01 -3.5600886e-01
