Number of elements 14133
     0 : -6.9359624e-53 -2.3436883e-52  4.0252107e-52
     1 : -4.8454994e-52  1.3309090e-51  1.1428202e-51
     2 : -2.0642078e-28 -1.0992386e-27  3.8290165e-28
     3 :  8.3282958e-57  1.2663788e-56 -3.6198305e-56
     4 : -4.7441873e-21  5.3035662e-21  3.4782518e-21
     5 :  3.4540299e-31 -4.0517752e-31 -5.4848117e-31
     6 :  3.6745220e-52  1.3423697e-51 -4.4946427e-52
     7 : -1.2901677e-20 -5.2124396e-21 -3.3598882e-20
     8 : -2.2775067e-15  4.7155525e-15  1.3665631e-14
     9 : -4.4391975e-48  6.1878490e-48  1.4285616e-48
    10 : -1.0153300e-59  2.8012113e-58  1.0236045e-57
    11 : -1.4825157e-21  2.1006492e-21 -2.5988641e-21
    12 : -9.9598975e-21 -4.3942924e-21  1.1740425e-19
    13 :  1.9684275e-21 -1.5130655e-20 -1.1802669e-20
    14 :  2.3940078e-66  3.9507157e-63 -4.0023209e-63
    15 : -4.7571658e-86 -9.4379765e-85  2.0075251e-84
    16 : -3.3116980e-10  2.5579168e-09 -7.2428293e-10
    17 :  5.2339008e-10 -1.3788850e-09 -1.7767916e-10
    18 : -4.7520991e-81  2.0500848e-81  8.6126158e-82
    19 : -1.2793466e-16  7.0131490e-16  1.7842337e-15
    20 :  7.6479808e-02  8.2119585e-02  1.2357872e-01
    21 : -1.3387325e-34 -1.0168200e-33  4.0923489e-34
    22 : -1.2345807e-11  5.5450169e-11  4.9135354e-11
    23 : -2.2533664e-01 -7.4501433e-02 -7.6825651e-02
    24 : -5.7079124e-114 -2.8914615e-114 4.2643901e-114
    25 :  6.7607288e-53  5.4901560e-52 -2.6592528e-52
    26 : -4.9500323e-11  2.8073603e-11  1.3850082e-11
    27 :  9.7895043e-22 -3.7871952e-22  3.1095432e-22
    28 : 1.2236380e-100 3.9273039e-100 -2.5737655e-100
    29 :  1.0980402e-01  9.9256257e-02  9.6522250e-02
    30 :  1.5154636e-20 -2.1637093e-20  1.2224227e-19
    31 : 1.9701470e-136 -3.8280532e-136 2.0285884e-136
    32 : -4.6562345e-32  4.3036465e-32 -1.2050370e-34
    33 : -8.7948518e-169 2.3130853e-169 3.2138505e-169
    34 : -1.8333091e-167 3.2916091e-167 -4.9718212e-167
    35 : 5.6584372e-105 -1.3716576e-105 -1.0411841e-104
    36 :  5.6566502e-01 -3.3605662e-01  5.8903088e-01
    37 : -8.4630622e-09 -1.2040680e-08 -1.4890778e-08
    38 : -4.1614968e-95  6.5843304e-94 -4.2641080e-94
    39 : -4.8734736e-76 -2.7298655e-76  1.2441562e-75
    40 : -2.3973707e-79  2.2982399e-80  9.9515661e-80
    41 : -1.8607378e-15  1.5514018e-15  7.4177404e-16
    42 :  7.4098356e-02  7.7526302e-02  6.8104185e-02
    43 : 3.5328859e-105 2.5622929e-105 -2.9017513e-105
    44 : -6.1980602e-94  1.0858510e-93 -2.2819207e-94
    45 :  3.3379342e-80 -3.3874854e-81 -2.2247741e-80
    46 :  1.5522987e-01  1.2875985e-01  1.2881859e-01
    47 :  8.6572166e-37 -5.9138864e-37  6.6050653e-37
    48 : -4.1489950e-44  4.2028123e-44  5.1285350e-44
    49 : -9.7043669e-24  1.8325150e-23  1.0164964e-23
    50 : -8.8663065e-01  9.8063773e-01  6.6085961e-02
    51 : -1.5343939e-01  2.6521522e-02  5.7470079e-02
    52 :  7.5409551e-31 -8.9962895e-30  7.0702381e-30
    53 : -4.2696531e-33  1.5358595e-33  1.0795411e-33
    54 : 3.5424755e-136 2.8602631e-137 -5.6858226e-136
    55 : -2.7946647e-46 -6.9656221e-46  4.6129156e-46
    56 :  1.3017257e-29  3.2737329e-30 -6.1203320e-30
    57 : -1.5983302e-149 2.0936047e-149 1.4092629e-150
    58 :  1.0190823e-61 -1.2188130e-61 -9.3930821e-62
    59 :  2.9506710e-17  3.4388550e-17 -1.8328485e-17
    60 :  1.7021237e-34  1.7125416e-34 -5.4760006e-34
    61 : -2.9911667e-57 -1.1935715e-57  7.6037898e-57
    62 :  2.5160659e-48 -4.1623837e-48 -7.1844776e-49
    63 : -1.1798528e-147 9.1336756e-148 1.3304875e-148
    64 : 1.2900805e-164 -1.2123366e-164 -4.3842205e-165
    65 : -5.1673848e-43  4.0606085e-43  3.5738244e-43
    66 : 1.9048142e-154 -4.2377670e-155 -6.2368009e-155
    67 : -2.8467469e-30 -4.6925547e-31  2.7421077e-30
    68 :  2.0311583e-16 -1.4807085e-16 -4.2095417e-16
    69 : -8.5870456e-07 -3.2336061e-06 -2.8642703e-06
    70 :  5.5347240e-16 -3.0527500e-17 -3.1684219e-16
    71 : -8.0416560e-126 8.5392814e-127 2.3123524e-125
    72 :  2.8136066e-54  8.6065396e-55 -2.9884442e-54
    73 : -6.3619342e-37  5.4889650e-37 -1.4231334e-37
    74 :  1.0956916e-30 -2.1036456e-30 -1.4135146e-30
    75 : 2.8796162e-147 1.1291549e-147 -1.9593632e-147
    76 : -5.3917821e-171 6.2457885e-171 4.6437451e-171
    77 :  1.0142678e-01  9.4803561e-02  1.0950657e-01
