Number of elements 14133
     0 :  8.4292467e-48 -6.0121806e-47 -3.3852272e-46
     1 : -1.0634233e-46 -6.0924658e-46 -4.9461065e-46
     2 : -5.3154513e-23  5.8077876e-23  1.0314298e-23
     3 :  8.5287964e-50  2.7277624e-49 -7.3312093e-49
     4 : -4.8948371e-18  6.3272332e-18  5.0185027e-18
     5 :  4.7816825e-27 -3.7678781e-27 -9.1638531e-27
     6 : -2.4073044e-46 -7.2121258e-46  1.3039261e-47
     7 : -2.6639887e-17 -1.1855072e-17 -3.8894856e-17
     8 : -1.0722363e-12  3.8284764e-13  2.4192731e-12
     9 :  5.3935118e-43  6.4246618e-43 -2.8090320e-43
    10 : -5.1179249e-51  6.0998710e-51  3.4021993e-50
    11 : -3.7026159e-18  5.9534180e-18  3.1911741e-19
    12 : -1.8232988e-17 -1.5341662e-17  5.8436385e-17
    13 : -2.0109482e-17 -2.4290922e-17 -1.4496726e-17
    14 : -3.4137437e-57  8.7253907e-57 -1.8887974e-57
    15 :  3.6906840e-76  7.6234401e-76 -1.7572569e-75
    16 : -1.5662068e-08  1.8951305e-07  9.7052786e-09
    17 :  2.1240747e-08 -5.6053945e-08 -7.3385085e-08
    18 :  8.4502090e-72 -1.5669556e-72 -2.7194775e-72
    19 :  6.9951760e-13  4.1153947e-13 -6.5147089e-13
    20 :  1.2889120e-01  1.3657492e-01  1.5222221e-01
    21 :  8.4420030e-29  1.2857237e-28 -3.1712968e-29
    22 : -1.9573848e-09 -2.1075044e-09  5.1335353e-09
    23 : -1.4356077e-01  6.9454357e-02 -8.2531896e-02
    24 : -2.3448092e-100 -1.0981629e-100 1.6961571e-100
    25 : -8.0634849e-47 -5.3403702e-46  2.8866011e-46
    26 : -9.4939427e-09  5.8696413e-09  3.1874106e-09
    27 : -1.7157916e-19 -5.9945519e-20 -3.4794345e-19
    28 : -7.4159897e-88  8.0718210e-87 -3.6190102e-87
    29 :  1.1727963e-01  1.0211998e-01  1.1623921e-01
    30 :  3.5825173e-17  2.2426009e-17  6.5181472e-17
    31 : 2.5498511e-120 -6.2237429e-120 3.6067067e-120
    32 : -5.6665355e-28 -2.6482713e-29  2.5258809e-28
    33 : -3.1095214e-149 8.7580974e-150 1.1017892e-149
    34 : 1.7641548e-147 -1.7017396e-148 -1.1536704e-147
    35 :  1.8889010e-92 -1.6907171e-93 -3.8621146e-92
    36 : -1.7224209e-01 -8.8938661e-02 -2.4163738e-01
    37 : -8.2357036e-07  4.1958193e-08 -9.6516589e-07
    38 : -2.2618028e-83  2.9373153e-82 -1.8452174e-82
    39 : -3.4078762e-67 -1.5459596e-66  2.1687298e-66
    40 : -1.9823936e-69  5.1409387e-70  6.4528671e-70
    41 :  5.2080636e-13  4.4787816e-12  1.1898653e-12
    42 : -4.3272774e-03  4.4074144e-02 -4.0312057e-02
    43 :  1.4735892e-92  9.5148604e-93 -1.1223130e-92
    44 : -4.3925908e-82  6.7607673e-82 -1.1169893e-82
    45 : -5.4833868e-71  5.2214576e-72  3.7800800e-71
    46 :  2.0788682e-01  1.9324308e-01  2.3314718e-01
    47 : -2.5652759e-32  1.6420923e-32 -1.9001387e-32
    48 : -1.3209131e-38  1.4779821e-38  1.8085165e-38
    49 :  2.4904519e-20 -1.0118508e-19 -1.0966900e-19
    50 : -1.9857734e-01 -8.3846981e-01 -6.9230523e-01
    51 : -1.7755850e-01 -1.5103832e-01 -2.5176346e-01
    52 : -1.2292619e-26 -8.2345423e-27  4.4916092e-26
    53 :  9.2047656e-30 -1.0202204e-29  5.7811187e-31
    54 : 4.1342085e-120 7.4743359e-121 -7.0670869e-120
    55 : -3.7863181e-40 -3.6504752e-40  3.1732647e-40
    56 : -6.1028458e-26 -2.5902220e-27  2.7703390e-26
    57 : -8.6711996e-133 2.8623884e-133 4.2852595e-133
    58 :  1.2054842e-56 -8.0013401e-57 -1.9418615e-56
    59 :  9.5081716e-14  3.2400397e-14 -2.1428968e-14
    60 : -1.1736412e-30 -8.2565498e-31  3.4876481e-30
    61 : -4.0845423e-50 -1.9178774e-50  1.1129582e-49
    62 :  1.0584194e-42 -1.6018865e-41  1.2393434e-41
    63 : -1.5155021e-130 1.2170511e-130 1.4912510e-131
    64 : 2.0901745e-145 -1.7189525e-145 -1.0282724e-145
    65 : -1.1506371e-37  7.1623122e-38  7.2583771e-38
    66 : 2.5918925e-136 -6.2269376e-137 -7.2632835e-137
    67 : -1.4170538e-26  2.7055637e-27  2.5305135e-26
    68 : -1.2513749e-15 -1.5194631e-13 -2.0747092e-14
    69 :  3.7275977e-05 -8.5543038e-05  5.1139348e-05
    70 : -1.7121092e-12  7.4160447e-13  6.4117629e-13
    71 : -4.9094535e-111 4.1010972e-111 1.4201436e-110
    72 :  1.2997236e-48  6.8606741e-48  2.0447600e-48
    73 : -1.5513621e-32 -3.4122263e-32  6.0326662e-32
    74 : -1.1866532e-27 -4.1380193e-27  1.2406877e-28
    75 : 7.2920141e-130 2.6152238e-130 -4.7560755e-130
    76 : -6.4421446e-151 7.7157379e-151 5.3832536e-151
    77 :  8.2411209e-02  4.5393422e-02  6.1334015e-02
    78 :  3.9556174e-64 -4.7348001e-64  6.1389036e-64
    79 :  3.8949840e-15  2.6969103e-14 -3.4699606e-15
    80 : -3.2787201e-06  1.8226843e-06 -1.9551981e-06
    81 : 4.1072538e-144 -1.9316788e-143 6.2941019e-144
    82 :  2.2616507e-91  1.2851321e-91 -5.2486200e-91
    83 :  7.0754243e-42  1.0349361e-41 -2.7405210e-41
    84 :  8.5630453e-11 -1.5299510e-10  9.4512508e-11
    85 : -2.2584434e-97  1.8672494e-96 -1.3481735e-96
    86 : -1.5300287e-14  9.8963917e-13  5.8068786e-13
    87 : -2.6201098e-71 -2.0034533e-70  2.0476513e-70
    88 :  2.7890638e-21 -2.7965745e-22 -1.0639592e-21
    89 : -1.6066035e-73  1.0147683e-72 -4.1093310e-73
    90 :  6.9213659e-51 -2.2242135e-49  1.0963286e-50
    91 : -2.5407363e-10 -1.7396658e-10  1.0866714e-10
    92 : -8.6557262e-50  6.1428000e-50  1.5882577e-49
    93 : -6.3550623e-36 -6.2314509e-36  1.9551346e-35
    94 : 1.1756657e-106 -5.3393914e-108 -5.5939253e-107
    95 : 2.5182486e-111 -4.8160893e-111 1.4178834e-112
    96 :  2.8902618e-19 -1.1939284e-18 -3.8706273e-18
    97 : -2.9483751e-28 -2.9262941e-28  1.6828355e-28
    98 :  4.4284176e-18 -3.2020557e-18 -7.6360491e-18
    99 :  7.1268939e-31  3.2070937e-31 -1.6467179e-30
   100 : -1.0547186e-92  3.3045872e-92 -5.9304971e-92
   101 : -2.8643660e-28 -8.1713871e-29  1.2349016e-28
   102 : -3.0751153e-45  1.1854492e-45  8.3816160e-46
   103 :  1.7548491e-61  1.3574576e-61 -1.3797030e-61
