Number of elements 14133
     0 :  2.3468168e-44 -2.8792729e-45 -2.6231251e-44
     1 : -3.2220503e-46  7.1765636e-44 -5.2883427e-44
     2 :  2.6630365e-21 -6.5344551e-22 -9.4279646e-22
     3 :  5.2540570e-48  5.1178470e-47 -1.3424029e-46
     4 :  5.9357784e-17 -8.3275810e-17 -3.8524547e-17
     5 : -1.6756279e-25  1.3571020e-25  2.8895263e-25
     6 :  3.4105502e-44  8.5327972e-44 -8.9863595e-45
     7 :  7.2749363e-16  5.9033378e-17  5.5430610e-16
     8 :  2.7807203e-12  2.4687431e-12  2.3321831e-12
     9 : -1.1992566e-40 -4.0565398e-41  5.8304936e-41
    10 : -2.1175977e-48  1.2921741e-48  7.8022807e-48
    11 :  3.1314566e-17 -4.0658568e-17  6.2796778e-18
    12 :  1.9123655e-16  1.8947597e-16 -1.9484098e-16
    13 :  6.5594269e-16  3.3767430e-16  8.9417573e-17
    14 :  6.1373511e-54 -1.4179479e-53  1.8010629e-54
    15 : -1.3523486e-72  4.8977398e-71 -1.0263483e-70
    16 :  4.1716629e-07 -2.6602332e-06  2.2478320e-07
    17 : -2.2501660e-07  5.8701518e-07  3.3470366e-07
    18 :  6.3093586e-68 -2.3642237e-68 -1.2853532e-68
    19 : -7.6337808e-12 -5.4629781e-12  6.1591826e-12
    20 :  1.3810521e-01  1.3904051e-01  1.1617537e-01
    21 : -3.6144552e-27  1.6053129e-26 -7.3469564e-27
    22 :  3.7547418e-09  1.6844224e-08  5.0112653e-09
    23 : -3.3211718e-02 -2.0847224e-01  1.4173157e-02
    24 : -4.4184867e-96 -1.9081651e-96  3.1012407e-96
    25 :  4.0578816e-44  2.6545752e-43 -1.3214802e-43
    26 :  2.1072258e-08 -3.8495883e-08 -1.4058693e-08
    27 :  1.0353570e-17 -2.7573802e-18  5.4906154e-18
    28 : -1.1904940e-83  1.2748201e-82 -5.6905618e-83
    29 :  6.4313544e-02  7.6095375e-02  5.7169933e-02
    30 : -4.4878706e-16 -3.3065068e-16 -1.0009916e-15
    31 : 1.0902000e-114 -2.9780930e-114 1.7791939e-114
    32 :  2.0577938e-26  1.4852266e-26 -1.5956909e-26
    33 : -2.1396032e-142 6.4342274e-143 7.3611473e-143
    34 : 1.5815232e-140 -1.8634040e-141 -9.0524961e-141
    35 :  4.3644736e-88 -8.2814053e-90 -9.3519091e-88
    36 : -1.9886342e-01  1.0350300e-03 -2.5951138e-01
    37 :  5.3280609e-07 -3.0201193e-06  1.0222500e-06
    38 : -3.1943010e-79  3.5477071e-78 -2.1711742e-78
    39 : -3.0973425e-64 -2.1458525e-63  2.6636096e-63
    40 : -5.3209528e-66  1.6293384e-66  1.5876089e-66
    41 :  1.0470131e-11 -1.9846017e-11 -5.1416871e-11
    42 : -6.4266998e-02 -2.6596429e-02 -9.5083428e-02
    43 :  3.8978685e-88  2.4197669e-88 -2.8820543e-88
    44 : -6.3741487e-78  8.8852041e-78 -1.1704362e-78
    45 : -4.5353955e-67  5.3088176e-68  2.8339538e-67
    46 :  9.8038696e-02  1.6994045e-01  2.2441683e-01
    47 :  3.1629855e-31 -3.8781901e-31  3.9864450e-31
    48 :  1.9924620e-37 -1.6714967e-37 -1.7260745e-37
    49 :  2.2767144e-18 -2.4312829e-18  2.1320666e-19
    50 :  1.1949671e-02 -7.4640024e-01 -2.8539626e-01
    51 : -1.1694584e-01 -1.6585699e-01 -1.4282909e-01
    52 :  6.0484360e-25 -9.8483874e-25 -6.6857719e-25
    53 : -3.8889874e-28  9.5412711e-29  8.6418178e-29
    54 : 1.8274698e-114 4.2668836e-115 -3.2231063e-114
    55 : -1.4011738e-38 -1.2360531e-39  5.0431872e-39
    56 :  6.1453251e-25  2.3453889e-25 -3.1898955e-25
    57 : -7.9069143e-127 -9.1560817e-127 8.7706555e-127
    58 : -1.3026288e-55 -1.2197562e-54  1.9394592e-54
    59 : -1.0985518e-12 -1.4644151e-13  3.5656402e-13
    60 :  1.1778434e-29  2.3301425e-29 -4.3343563e-29
    61 : -6.2568314e-48 -3.5233225e-48  1.8256402e-47
    62 : -7.9075822e-40  1.8652878e-39  7.6204593e-41
    63 : -7.5653812e-125 6.2036838e-125 6.8145576e-126
    64 : 1.1297758e-138 -8.7552411e-139 -6.2449911e-139
    65 :  2.7562044e-36 -2.4457784e-36 -2.0620455e-36
    66 : 6.0177213e-130 -1.5071269e-130 -1.5478007e-130
    67 : -4.4887116e-25 -9.6257186e-25 -3.9395360e-25
    68 : -3.2371290e-13  1.5296878e-12  1.4206479e-12
    69 : -8.8459164e-05 -2.3976778e-04 -1.0874930e-04
    70 :  2.8671978e-11 -1.1113242e-11 -1.1141705e-11
    71 : -6.1998678e-106 1.1178471e-105 1.6313257e-105
    72 : -9.4377454e-45 -6.2231386e-45  1.8486291e-44
    73 : -2.7524969e-31 -5.0624649e-31  8.5674723e-31
    74 :  2.3804544e-26  1.2326972e-25  1.7367127e-26
    75 : 9.6760089e-124 3.3893030e-124 -6.2219625e-124
    76 : -6.8873711e-144 8.3450519e-144 5.7048629e-144
    77 :  3.6043994e-02  2.8747661e-02  2.5271088e-02
    78 :  6.4208601e-61 -7.5154311e-61  9.8159055e-61
