Number of elements 14133
     0 :  6.4100192e-31 -1.7289652e-31 -1.1157722e-30
     1 : -2.7053409e-31 -5.5923719e-31 -1.5245426e-30
     2 :  2.9243982e-12 -1.0633110e-12 -1.1203570e-12
     3 : -2.1864658e-37  1.0793606e-36 -2.6628571e-36
     4 : -6.4118918e-11  1.9840256e-10  1.7279776e-10
     5 : -1.0564792e-17  1.3774158e-17  2.3847003e-17
     6 :  4.8057237e-31 -6.0646916e-31 -8.8621640e-32
     7 :  3.7110972e-10 -8.7057950e-12  2.1355830e-10
     8 :  6.8799097e-08  3.2130097e-08 -3.7162069e-08
     9 :  1.2493956e-28  5.2123841e-29 -9.3508082e-29
    10 : -3.8765057e-38  2.9663682e-38  2.2404926e-37
    11 : -9.7927098e-11  2.0729734e-10  1.2720398e-10
    12 : -3.7056872e-11 -4.6253228e-11 -1.3365303e-11
    13 :  3.6432516e-10  8.1984492e-11 -9.9102020e-12
    14 : -2.6933408e-41  1.9710312e-40 -1.2600058e-40
    15 : -3.8820197e-55  7.1694532e-55 -1.3995988e-54
    16 : -1.3148951e-02  2.1479767e-02 -9.4792727e-03
    17 :  8.5775920e-04 -4.6742396e-03 -2.5458090e-03
    18 : -3.4032811e-52  1.5120604e-52  4.0835863e-53
    19 : -1.1090321e-07  2.1880223e-08 -4.2451364e-06
    20 : -3.2183450e-02 -3.7143777e-02 -3.4393151e-02
    21 :  9.2613814e-18  1.6412546e-17 -9.1949660e-18
    22 :  1.7921931e-05  3.4447365e-05  7.1173497e-05
    23 : -7.1603692e-02 -7.2254483e-02 -3.3413945e-02
    24 :  2.1094922e-77 -3.2411917e-77  1.2739622e-77
    25 :  4.1861457e-32 -3.0398201e-31  2.5666946e-31
    26 :  1.8730080e-03  6.1632483e-04 -2.1471529e-04
    27 : -1.5227960e-12  2.2588849e-12  1.7224282e-12
    28 :  8.9128260e-66 -1.1655570e-64  4.9230724e-65
    29 : -4.7656252e-02 -5.0721556e-02 -5.0020528e-02
    30 : -3.1745784e-10 -2.4570623e-10 -7.9251541e-10
    31 : -5.8296369e-89  6.2569765e-89 -1.3280944e-90
    32 :  1.0364570e-18  1.7598572e-18 -1.2401531e-18
    33 : -1.8329715e-110 1.6013446e-110 1.2613367e-111
    34 : 4.1521631e-108 2.3839118e-109 -2.5302167e-108
    35 : -1.7883786e-69 -3.1133997e-69  8.1611592e-69
    36 : -1.1563877e-01 -3.0891490e-03 -2.0216517e-01
    37 :  2.5830641e-02  2.1386944e-03  1.3700251e-02
    38 :  2.4160987e-61 -1.3524251e-60  6.4410190e-61
    39 : -4.1726373e-51 -2.3433980e-49  2.0484173e-49
    40 : -1.5319415e-51  6.3624874e-52  3.4748920e-52
    41 :  8.1324822e-06 -4.8968733e-05  4.8905839e-05
    42 : -5.0794842e-02 -5.1906232e-02 -6.3929797e-02
    43 : -1.1174078e-68 -5.7643163e-69  6.6665652e-69
    44 :  2.4178649e-60 -1.9680112e-60 -1.9452848e-61
    45 : -1.4332472e-52  4.2516837e-53 -7.7430644e-53
    46 : -9.9515936e-02 -8.8920585e-02 -1.1776976e-01
    47 : -3.3079941e-22  4.9713329e-23 -1.1156777e-22
    48 : -1.3046100e-28  2.5503633e-28  5.5980631e-28
    49 :  3.9081382e-10 -2.9287717e-10 -1.0503009e-10
    50 : -1.0588856e-01 -1.8132733e-01 -1.1561941e-01
    51 : -6.2938807e-02 -4.4483612e-02 -4.9933874e-02
    52 :  4.0182337e-17 -8.3687584e-17 -3.1998550e-17
    53 :  8.3005062e-21  6.1244128e-21 -2.6376038e-21
    54 :  3.9773932e-89  1.1010097e-88 -1.6284453e-88
    55 : -8.9943462e-29 -1.4998422e-29  3.7400776e-29
    56 :  2.2771060e-18  3.1911196e-19 -1.1638933e-18
    57 : -5.3587000e-97  1.1908136e-97  2.2559263e-97
    58 : -2.9251553e-41  3.4150450e-41  3.7943008e-41
    59 :  1.5752649e-07  8.9104030e-08  1.2199121e-08
    60 :  1.2156622e-22 -8.1801206e-22 -5.0483499e-23
    61 : -1.1492747e-37 -7.3929765e-38  3.5010396e-37
    62 : -1.2839836e-27  2.3542297e-27  1.6222463e-27
    63 : -9.9261331e-100 8.9707013e-100 4.9723641e-101
    64 : 3.0350721e-107 -1.6304582e-107 -2.5217839e-107
    65 :  2.9573203e-29 -7.8612155e-28 -8.7857957e-28
    66 : 2.3125352e-100 -6.1245012e-101 -1.3313723e-101
    67 : -2.2021564e-17 -4.9306167e-17 -4.1360449e-17
    68 : -8.1407819e-08 -2.5003254e-07 -1.8488149e-07
    69 :  7.2905132e-02  9.4555007e-02  4.9003201e-02
    70 :  8.9440133e-06 -3.9735570e-06 -6.7611113e-06
    71 :  1.1240033e-82  3.1055573e-81 -5.2837482e-81
    72 :  2.6053427e-31  1.8814109e-31 -6.0113299e-31
    73 : -8.9040722e-21  2.0036210e-22  2.1756354e-20
    74 :  1.1795401e-17 -2.5231434e-20 -1.2877562e-17
    75 :  3.2908546e-95  1.1145585e-95 -1.9436402e-95
    76 : -6.7674214e-111 8.9553311e-111 5.2728368e-111
    77 : -4.6080734e-02 -4.7676855e-02 -5.0092561e-02
    78 :  6.1995198e-48 -5.4445543e-48  7.7432455e-48
    79 :  1.7247926e-09  1.1032445e-08  1.9630487e-08
    80 : -4.6987216e-03  3.7485720e-03  1.2739263e-03
    81 : 8.0328842e-111 -3.8558857e-110 1.2909523e-110
    82 : -4.1674274e-67  3.2602519e-68  2.8070598e-67
    83 :  5.3509648e-27  9.7953368e-28 -1.2445508e-26
    84 : -1.9362874e-05 -2.3841061e-05 -1.6378164e-05
    85 :  1.8767573e-71  1.2304181e-71 -5.2586916e-71
    86 : -2.3709534e-06 -4.6014595e-06 -5.0522374e-06
    87 :  3.6994084e-53 -5.1747371e-52  3.0540249e-52
    88 : -5.4812715e-13  1.0978714e-13  1.9695983e-13
    89 :  5.1354834e-56 -1.0573617e-54  2.2325302e-55
    90 :  2.3527543e-33 -1.3660452e-32  3.9720037e-33
