Number of elements 14133
     0 :  6.8186466e-45 -2.4093762e-45 -5.9991678e-45
     1 :  1.1846877e-45  3.5749230e-44 -1.8744343e-44
     2 :  1.9537214e-21 -1.2733319e-21 -5.8007670e-22
     3 :  3.8604455e-48  2.8492468e-47 -7.4970063e-47
     4 :  3.3939998e-17 -4.6870144e-17 -1.0373106e-17
     5 : -1.0546166e-25  8.4262292e-26  1.5825082e-25
     6 :  1.6071123e-44  4.5561654e-44 -8.0936088e-45
     7 :  7.2464794e-16 -5.3118213e-17  4.0372813e-16
     8 :  8.8119940e-13  2.7263259e-12  5.3878295e-12
     9 : -8.8753700e-41 -2.4886089e-43  4.5502381e-41
    10 : -1.0601153e-48  7.0085161e-49  4.2210187e-48
    11 :  1.0908392e-17 -8.0663685e-18  1.2319467e-17
    12 :  1.2498022e-16  1.2993484e-16 -1.5008844e-17
    13 :  6.6580149e-16  2.0956536e-16 -2.4220311e-17
    14 :  2.3343079e-54 -5.9217685e-54  1.2228319e-54
    15 : -2.8503917e-73  1.6364965e-71 -3.4361909e-71
    16 :  4.8975451e-07 -2.6841999e-06  4.8801668e-07
    17 : -2.7270825e-07  6.7574480e-07  1.5653362e-07
    18 :  2.5567552e-68 -9.4942457e-69 -5.2885345e-69
    19 : -4.1472481e-12 -4.7585435e-12 -1.4362289e-12
    20 :  1.3902963e-01  1.4138877e-01  1.2244376e-01
    21 : -3.7573017e-27  3.6069533e-27 -2.4774801e-27
    22 :  1.1493373e-09  1.2826431e-08  9.8788447e-09
    23 : -2.9520654e-02 -1.5529248e-01  9.6526502e-03
    24 : -1.4584956e-96 -6.4064272e-97  1.0298835e-96
    25 :  1.7211239e-44  1.1798296e-43 -6.1298748e-44
    26 : -5.7422667e-09 -2.6870899e-08 -5.0624794e-09
    27 :  8.1514542e-18 -2.5769957e-18  3.5378923e-18
    28 : -3.7527001e-84  4.0233794e-83 -1.7968468e-83
    29 :  7.4204807e-02  7.7419512e-02  6.4264749e-02
    30 : -2.4644433e-16 -1.1570408e-16 -9.4760691e-16
    31 : 2.3010267e-115 -6.1922183e-115 3.6858104e-115
    32 :  1.4379602e-26  1.5421214e-26 -1.3763998e-26
    33 : -3.2243673e-143 9.6034512e-144 1.1142456e-143
    34 : 2.3148414e-141 -2.7232536e-142 -1.3371180e-141
    35 :  1.3113433e-88 -3.7028820e-90 -2.7928464e-88
    36 : -1.9949081e-01 -4.8251184e-03 -2.6547902e-01
    37 : -1.1002372e-06 -2.4394475e-06 -2.9701438e-07
    38 : -1.0153144e-79  1.1502407e-78 -7.0648170e-79
