Number of elements 14133
     0 :  7.6266305e-35  1.1580160e-34 -5.7461041e-35
     1 :  1.9737773e-34 -5.6223534e-36 -3.7742560e-34
     2 :  3.4920085e-15 -7.8543494e-15 -2.9788014e-15
     3 : -8.3129453e-40 -4.5719749e-40  1.0814485e-39
     4 :  2.7158600e-12 -2.8462827e-12 -1.5581425e-12
     5 : -4.5380794e-20  5.3424116e-20  1.5852939e-19
     6 :  4.6016786e-35  9.5284750e-35  1.1384401e-34
     7 :  6.9050880e-12  3.8208888e-12  6.6279465e-12
     8 : -3.6657180e-09 -2.2993940e-09 -9.8792965e-09
     9 : -2.0463894e-32 -2.1059841e-32 -9.8968421e-33
    10 : -2.0382868e-40  4.3180667e-41  1.9097759e-41
    11 :  1.3515489e-12 -1.4140185e-12  8.7420053e-13
    12 : -3.7689207e-13 -6.1156027e-14  4.1941669e-12
    13 :  7.1420520e-12  6.2908394e-12  3.5706782e-12
    14 : -5.3755301e-44  1.1239695e-43 -4.0073031e-45
    15 :  6.9665483e-59 -1.8889930e-58  3.7561523e-58
    16 :  1.4853894e-03 -2.3843832e-03  1.6853215e-03
    17 : -2.3485613e-04  5.4774327e-04  7.1266808e-05
    18 : -3.1107200e-56  1.2675998e-56  5.2872431e-57
    19 : -3.4480503e-08  2.2170135e-08  3.0963130e-08
    20 :  2.3939288e-02  4.6440619e-02 -3.4760578e-02
    21 :  4.7837788e-20  1.0874510e-19 -2.5600461e-20
    22 : -1.5274610e-07 -2.8741365e-06 -1.0555215e-05
    23 : -1.8528208e-01 -1.4395435e-01 -2.0727212e-01
    24 : -7.3007191e-81 -3.0768449e-81  5.0174128e-81
    25 :  6.7488588e-35  5.9711795e-34 -3.0093371e-34
    26 : -8.2566398e-05  3.2100892e-05  3.0164795e-05
    27 : -1.1791931e-13 -2.8626580e-15 -9.1886771e-14
    28 :  5.8565015e-70 -6.2518395e-69  2.7771425e-69
    29 : -3.5002123e-02 -4.0306713e-02 -4.5181145e-02
    30 : -1.2285482e-11 -1.4369294e-11 -8.7635081e-12
    31 :  4.4566760e-96 -1.0798129e-94  8.0626627e-95
    32 :  5.6138603e-21  3.0986696e-21 -3.2713641e-21
    33 : -2.7606264e-118 1.5927436e-118 5.7449165e-119
    34 : 4.8061529e-116 -6.6070600e-118 -2.7926671e-116
    35 : -1.1844240e-74  2.1852272e-74 -4.6322507e-75
    36 : -1.6824366e-01 -1.3366157e-01 -1.6693186e-01
    37 : -2.8102596e-03  1.2217846e-03 -1.0848292e-03
    38 : -1.5171897e-65  8.6624013e-65 -4.1781316e-65
    39 : -3.3286111e-54 -3.0175216e-53  3.6734416e-53
    40 :  4.3521011e-55 -1.7929131e-55 -1.0188095e-55
    41 :  4.1382593e-07 -1.4633154e-06  1.9439815e-06
    42 : -6.0365536e-02 -4.4381310e-02 -4.6528509e-02
    43 :  1.5250229e-73  8.7504748e-74 -9.4750748e-74
    44 : -3.9047971e-64  3.0699409e-64  3.3705962e-65
    45 :  1.9926256e-55 -3.3817824e-56 -7.5441851e-56
    46 : -2.5865495e-02  3.6574359e-02  4.7203261e-02
    47 : -4.9125018e-25 -4.1312397e-25  3.1573125e-25
    48 :  3.5753796e-30 -4.2238434e-30 -5.5832195e-30
    49 :  8.9594704e-13  2.8659165e-12  3.6141457e-12
    50 : -5.5225327e-02 -3.8626545e-01 -2.6082152e-02
    51 : -4.7282421e-02 -5.8174161e-02 -5.5808853e-02
    52 :  2.2757417e-19 -2.7115755e-19 -5.4879449e-19
    53 :  5.3852374e-23 -9.6888931e-23  2.2209163e-23
    54 :  8.4364959e-95  6.9342444e-95 -1.9649698e-94
    55 :  2.5346710e-31  7.2039658e-32 -1.3949074e-31
    56 : -2.4216909e-20 -2.7042629e-21  1.4685257e-20
    57 : -2.5710144e-104 -5.3558931e-105 1.5780626e-104
    58 :  1.6894180e-44 -1.8210313e-44 -1.6142286e-44
    59 : -3.2762133e-09  1.8668197e-09  3.6456787e-09
    60 : -1.0859903e-23 -7.6425802e-24  3.2012329e-23
    61 :  4.4230739e-41  9.8946132e-41 -1.4861801e-40
    62 : -1.4443313e-30  5.6991818e-30 -2.5124648e-30
    63 : 6.7114676e-106 -5.9428345e-106 -3.9451936e-107
    64 : 6.7224938e-115 -3.9521333e-115 -5.2629876e-115
    65 :  2.1776030e-29 -1.1698935e-29 -1.2641983e-29
    66 : 1.6637745e-107 -4.6984071e-108 -2.2010604e-108
    67 :  3.7394900e-19  1.8284775e-19 -5.3680966e-19
    68 : -7.2818662e-09  5.8373526e-09  2.7870831e-08
    69 : -7.4749837e-03  1.2418570e-02 -1.4614900e-02
    70 :  4.1052669e-07  3.7351862e-09 -1.1942068e-07
    71 :  5.1286373e-88  6.2732864e-87 -7.9505378e-87
    72 : -7.5008406e-35 -5.9757327e-35  2.6457182e-34
    73 :  1.4383918e-23  9.4118410e-23 -1.2494519e-22
    74 :  8.2280973e-20 -6.3714928e-20 -1.1109455e-19
    75 : 3.9993001e-102 1.3464081e-102 -2.4307776e-102
    76 : -5.2786399e-119 6.7667902e-119 4.2053205e-119
    77 : -5.4857917e-02 -6.4172729e-02 -5.9220555e-02
    78 : -5.0795309e-51  5.2239902e-51 -7.1330045e-51
    79 :  8.1057010e-10 -9.1929622e-10 -1.0527405e-09
    80 :  1.4250028e-03 -7.1915029e-04  2.1646718e-04
    81 : -9.4083410e-117 4.4265503e-116 -1.4185335e-116
    82 :  6.4099367e-73  2.4717060e-71 -5.9174074e-71
    83 : -1.6046630e-30 -1.1324392e-30  6.0676878e-30
    84 :  1.9059109e-06  3.4153875e-06  1.6087499e-06
    85 :  2.8610026e-76  1.7018137e-75 -2.2020240e-75
    86 : -1.4509010e-07 -1.3209439e-07 -2.2352383e-07
    87 : -4.0537922e-57  3.5831251e-56 -1.8610676e-56
    88 : -4.8959864e-15 -6.5747728e-17  2.0334484e-15
    89 : -3.6554233e-59  3.5712271e-58 -1.0255099e-58
    90 :  2.1324361e-37  3.1803305e-37  1.7440188e-37
    91 :  1.2610670e-07 -1.4132716e-06  7.4131555e-07
    92 : -2.1838096e-40 -1.2400780e-40  8.1643496e-40
    93 :  1.5141729e-28  2.2157678e-28 -7.0784845e-28
    94 :  5.7766787e-84 -8.6145299e-84  1.1386637e-84
    95 :  8.0265955e-88 -2.2030939e-87  4.7513453e-88
    96 :  8.9541342e-12 -2.4916140e-13 -4.8538120e-12
    97 :  8.5765946e-21  6.6478850e-21 -6.9775413e-22
    98 : -2.5986475e-12  1.3663372e-12  3.8137816e-12
    99 : -6.0464794e-24 -4.4541121e-24  2.6593409e-23
   100 :  4.5189341e-72 -2.6924090e-72  1.4536375e-72
   101 :  1.0102408e-21  6.7972958e-21  2.4150579e-21
   102 :  7.0375346e-36  2.4325689e-37 -3.1244257e-36
   103 : -5.5799195e-49 -1.3798034e-48  7.4974710e-49
   104 :  3.5576278e-05  4.2808963e-05 -6.0909603e-05
   105 : -9.5193450e-66  8.7108469e-66  1.4740893e-65
   106 :  1.7596344e-79 -1.5629959e-79  4.7198920e-81
   107 : -1.8017587e-11 -6.2397083e-12  1.9214714e-11
   108 :  5.1566198e-11 -3.0478091e-11 -8.3917953e-12
   109 :  1.1219853e-88 -4.1226836e-89 -3.1461498e-89
   110 : -8.7890584e-12 -1.6150977e-11  1.3182100e-11
   111 : -9.0670072e-46 -4.5680330e-46  5.0899245e-46
   112 :  6.4941868e-46 -4.8439267e-46 -8.5768123e-46
