Number of elements 2948
     0 : -7.3685750e-17  1.5002317e-16  5.6578492e-17
     1 : -1.9910249e-17  8.7535036e-18 -7.8026924e-18
     2 : -1.3356056e-18 -3.4188352e-19  1.0457928e-18
     3 :  2.2162852e-11  4.3041669e-10  6.7247909e-10
     4 :  8.1411898e-02  9.8693006e-02 -2.3657162e-02
     5 :  5.8356778e-27  2.3212782e-27 -1.2772187e-26
     6 :  4.0610257e-39 -1.2349328e-38  4.1346141e-39
     7 : -9.5755602e-56  1.3387485e-55  4.9676309e-56
     8 :  1.4724539e-30 -1.8468223e-31 -1.0521456e-30
     9 : -2.3429105e-19  1.2662697e-18 -7.7579307e-19
    10 :  3.9840730e-52  7.7618497e-53 -8.0727236e-52
    11 :  2.7721658e-42 -9.4631416e-43 -8.8616817e-43
    12 : -3.6856028e-55  1.7703687e-55  6.1763482e-55
    13 : -2.0426730e-35 -1.3197754e-36  4.4038976e-35
    14 : -5.4448446e-03 -3.4094593e-03  1.1036935e-03
    15 :  1.2124663e-13 -8.9242623e-14 -3.0474771e-13
    16 : -2.6307023e-38  6.8200450e-38 -1.3551402e-38
    17 :  5.4811339e-03 -2.3883631e-03 -1.0694474e-02
    18 :  6.5149466e-21 -5.9916763e-21  3.7948702e-21
    19 : -1.2540901e-44 -3.7509013e-44  2.2595755e-44
    20 :  1.5422599e-39 -5.7677792e-39  2.6584733e-39
    21 : -8.2019554e-16  9.2017102e-15 -1.7271102e-14
    22 : -3.5385482e-44  2.6880238e-43 -4.1725342e-43
    23 :  1.1630101e-10 -9.0154088e-11 -1.9705177e-11
    24 : -3.0171076e-12 -1.8117889e-11  6.3684281e-12
    25 :  7.6492659e-48  5.9270775e-48 -2.0496774e-47
    26 : -2.4675776e-09  5.2165811e-09  4.8658728e-09
    27 :  1.6030776e-14 -1.4239617e-14 -3.2666950e-17
    28 : -3.4861109e-06 -8.0474657e-07 -8.0785951e-07
    29 : -1.0034779e-50  1.5504994e-50 -2.1041206e-50
    30 :  3.4556252e-24 -5.1551736e-23  2.3311043e-23
    31 : -2.7563396e-08  1.6679739e-08 -1.2146554e-08
    32 : -1.4747565e-35 -3.1151126e-35  2.1674749e-35
    33 : -6.7339074e-33 -6.9524911e-34  1.0020901e-32
    34 : -2.9612567e-14  2.2925071e-14  5.0069063e-14
    35 : -5.7948813e-16  2.5173781e-16  9.0024832e-17
    36 : -3.4231483e-06  9.7065696e-07 -1.5552648e-06
    37 : -4.5937545e-34  8.7477187e-34  3.6604761e-34
    38 : -6.1603595e-11 -1.8708679e-11  2.4805696e-11
