Number of elements 2948
     0 : -3.5643314e-28  5.9845837e-28  1.4439535e-28
     1 : -1.5474909e-29  2.7655056e-29 -2.4437218e-29
     2 : -1.1303106e-30  7.6928179e-31  1.6239714e-31
     3 : -4.9368068e-17  1.4829702e-16 -8.2856835e-17
     4 : -5.5646685e-05 -9.7768051e-05  3.8896678e-05
     5 :  7.6437789e-43  4.5767942e-43 -1.7644065e-42
     6 : -3.4864231e-59  6.7765235e-59  2.1364977e-60
     7 : -3.9659900e-87  5.4220764e-87  2.1780781e-87
     8 :  1.1702596e-49 -5.1365012e-50 -9.2121515e-51
     9 :  1.0460619e-30 -4.5096907e-30  2.2941655e-30
    10 :  2.1243121e-81  1.1189109e-81 -4.9060399e-81
    11 :  2.5780937e-68 -8.6000796e-69 -8.5470133e-69
    12 : -9.0977176e-87  6.8156891e-87  1.1645198e-86
    13 :  1.9671017e-55 -3.3825522e-55 -5.8104913e-56
    14 : -4.7231854e-06  4.7243666e-06  1.1777378e-05
    15 :  1.7209083e-22 -2.5734196e-23 -3.5844939e-22
    16 : -1.3986221e-59  2.1729508e-59  6.4094772e-60
    17 :  1.0127981e-07 -7.3508285e-08 -1.5276563e-07
    18 :  2.0214348e-32 -3.4052730e-33 -1.1604558e-32
    19 : -4.9214901e-69  6.5717968e-70  2.0873589e-69
    20 : -7.3015615e-60  5.1721557e-59 -3.7077535e-59
    21 :  2.3714355e-24 -6.3992421e-24  1.0517958e-23
    22 :  3.8584394e-67  3.9991247e-67 -1.1478124e-66
    23 :  3.7708827e-18 -9.7805563e-18  2.2693230e-18
    24 : -5.7282252e-20  7.1828452e-19 -2.8959499e-19
    25 :  6.3097666e-74 -3.3275599e-74  4.8570206e-75
    26 :  3.3458509e-15 -1.8702269e-14  1.2147570e-14
    27 :  5.0511881e-25 -2.7243707e-25 -7.2206456e-26
    28 : -2.0027160e-12 -6.1935659e-13  4.9806501e-12
    29 : -5.5072427e-74 -3.5265465e-74  1.2564741e-73
    30 :  4.6379047e-37  1.8505252e-37 -2.8660130e-37
    31 : -1.2896559e-13  8.1204572e-14 -1.1292711e-13
    32 : -2.9887176e-56 -1.0516422e-55  6.7103951e-56
    33 : -1.3124964e-52  1.7348970e-53  9.7083582e-53
    34 : -1.2684457e-22  1.0029833e-22  1.6557903e-22
    35 : -1.1299972e-26  5.3913177e-27  2.3031603e-27
    36 :  6.0324803e-13  1.0902352e-12  5.5751664e-13
    37 :  2.7795107e-55 -6.3427398e-55  1.2414329e-55
    38 :  2.6959606e-18 -7.3035206e-18  2.0003871e-18
    39 : -6.4349808e-29  3.1235936e-29  7.1608782e-29
    40 :  2.1742156e-41 -1.4436991e-42 -1.8506525e-41
    41 : -3.5358115e-91 -1.8825704e-91  2.6698985e-91
    42 : -1.0192067e-20  8.4338764e-21  1.0214062e-21
    43 :  3.2336361e-16 -2.4629848e-16 -5.0569514e-16
    44 : -1.0778062e-03  1.5418144e-03  1.0462519e-03
    45 : -1.1376825e-69  9.9959243e-70 -9.0112196e-70
    46 : -9.6852443e-101 -1.1075755e-101 1.1901276e-100
    47 : 3.0639904e-104 -9.3168265e-104 2.7520372e-104
    48 : -2.5888404e-77  8.2283311e-78  9.1377236e-78
    49 :  9.4261715e-85 -2.9659047e-84  1.0021197e-84
    50 : -4.4901562e-99  9.7728840e-99 -6.1161141e-100
    51 : -9.5635772e-73  4.4722182e-72  3.0424879e-71
    52 :  8.8674222e-21 -1.9100122e-21 -5.1736962e-21
    53 :  5.9056609e-88 -1.5447382e-87  2.5431181e-87
    54 : -1.3213867e-29 -6.4192835e-31  5.1538415e-30
    55 :  1.8443036e-63 -9.3740437e-64 -5.0580249e-64
    56 :  3.0891195e-09  8.7249296e-09 -3.9216826e-09
    57 : -2.4587145e-41  3.3314985e-41  1.7096222e-41
