Number of elements 2948
     0 : -1.9433543e-25  3.5920133e-25  6.7916552e-26
     1 : -1.1830869e-26  1.8680463e-26 -1.6807434e-26
     2 : -1.2631133e-27  3.2356274e-28  4.2135612e-28
     3 : -2.9187522e-15  7.9026576e-15 -2.4077547e-15
     4 :  2.3470224e-04  5.7688634e-04 -3.7022500e-04
     5 :  2.2136037e-39  1.2538336e-39 -5.0434316e-39
     6 : -7.6941297e-55  1.6029263e-54 -5.8727422e-56
     7 : -3.3133511e-80  4.5530064e-80  1.7975896e-80
     8 :  1.8119907e-45 -6.7941782e-46 -3.6419436e-46
     9 :  4.0289422e-28 -1.5332732e-27  7.5154709e-28
    10 :  4.3557033e-75  2.2273278e-75 -1.0006720e-74
    11 :  1.7032742e-62 -5.6926944e-63 -5.6291440e-63
    12 : -5.2328943e-80  3.7374272e-80  6.9465346e-80
    13 :  5.9606486e-51 -1.0495351e-50 -1.5480174e-51
    14 :  1.5205674e-05 -5.3380731e-06 -9.8089162e-06
    15 :  2.3332133e-20 -7.6736091e-21 -4.7149985e-20
    16 : -8.1276513e-55  1.2744648e-54  3.6448898e-55
    17 : -5.9829420e-07  1.9911833e-07  9.2314692e-07
    18 :  9.2471949e-30 -1.4209431e-30 -5.4226485e-30
    19 : -8.7566417e-64 -3.3697050e-65  4.4158064e-64
    20 : -2.0508374e-55  1.1183308e-54 -7.0685345e-55
    21 :  1.8934883e-22 -4.6477337e-22  7.3465261e-22
    22 :  5.8144859e-62  6.4900419e-62 -1.8010106e-61
    23 :  2.9902307e-16 -5.4486578e-16  1.0280907e-16
    24 :  9.7378006e-18  1.3078429e-17 -9.7423980e-18
    25 :  2.1256245e-68 -8.1363626e-69 -4.4693013e-69
    26 :  1.0999238e-13 -3.3204591e-13  7.8425160e-14
    27 :  1.6905924e-22 -1.5523831e-22  1.0977943e-24
    28 : -1.0242339e-11 -6.3282733e-12  3.9274541e-11
    29 : -5.0491142e-69 -5.2078945e-69  1.5474019e-68
    30 :  8.7459817e-34  2.4453600e-34 -4.7399554e-34
    31 : -5.0611465e-13  2.1276231e-13 -8.6071769e-13
    32 : -1.2730270e-51 -4.3536249e-51  2.7888582e-51
    33 : -2.2643665e-48  1.9970643e-49  1.9083724e-48
    34 : -1.1844370e-20  1.3709789e-20  1.1876422e-20
    35 : -4.5784289e-24  2.2655140e-24  7.9105538e-25
    36 :  1.3562731e-12 -5.9987752e-11  1.2329441e-11
    37 :  5.2895410e-51 -1.4296882e-50  6.0911610e-51
    38 :  2.3738802e-19 -3.2912809e-16  1.3804049e-16
    39 : -2.2897241e-26  8.9105499e-27  2.7041743e-26
    40 :  1.5429171e-37 -8.2299792e-38  2.1458005e-38
    41 : -2.6180442e-84 -1.2393256e-84  1.8895320e-84
    42 : -5.9067539e-19  9.8172146e-19 -1.5066477e-19
    43 :  6.4949007e-15 -3.7530429e-15 -1.1296385e-14
    44 :  3.7312223e-03 -5.7508969e-03 -9.5913355e-04
    45 : -3.2525087e-64  2.8943656e-64 -2.6967108e-64
    46 :  1.9799619e-95 -1.4280248e-94  2.6602161e-94
    47 :  1.9153619e-96 -6.0354615e-96  1.8154341e-96
    48 : -2.8217035e-71  9.2318725e-72  9.2820444e-72
    49 :  5.5027245e-78 -1.7040289e-77  5.6897280e-78
    50 : -1.3947868e-91  3.1392763e-91 -2.6859226e-92
    51 :  3.2119272e-66  2.0672062e-65 -2.3176433e-66
    52 :  8.4310388e-19 -1.8058678e-19 -5.0407121e-19
    53 :  1.0239277e-81 -4.1634612e-81  7.4749376e-81
    54 : -1.0354928e-26  4.5475785e-27  1.5579702e-27
    55 :  9.2768380e-59  1.7487731e-59 -6.4957078e-59
    56 : -3.7826411e-08  1.0585500e-08  1.0020431e-08
    57 : -8.0183066e-38  1.2052014e-37  4.5387547e-38
    58 : -6.4910729e-03  9.2637267e-03 -8.3969003e-03
    59 : -4.0291233e-32  1.3877846e-32  1.5000528e-32
    60 : -1.2975036e-49  6.0257083e-49 -2.3103314e-49
    61 :  1.6365087e-46 -3.5365807e-46  1.6598990e-47
    62 :  1.3779138e-13 -1.1004606e-14 -8.8972587e-14
    63 :  1.2667669e-11 -3.4301413e-12 -2.6951341e-12
    64 : -1.4462625e-73  8.3077883e-75  6.5256582e-74
    65 :  2.3918424e-73  2.7342420e-73 -2.7725256e-73
    66 : -1.7843988e-80  8.0549321e-81  1.0003870e-80
    67 : -1.0122898e-10  2.3709202e-11  2.7577763e-11
    68 : -1.9841882e-26 -1.2607303e-26  1.5275088e-26
    69 : -2.7319566e-21 -9.1138292e-22  1.7226610e-21
    70 : -4.9230775e-55 -1.0722274e-54  7.5998780e-55
    71 :  4.6408343e-10 -1.0334289e-09 -9.6720671e-10
    72 :  1.0902162e-67 -5.7766596e-68  9.4156041e-69
    73 :  2.9709444e-13  2.2490962e-13 -9.1599971e-13
    74 :  1.6575014e-63 -6.4033693e-63  2.3480262e-63
    75 : -9.4766009e-12  3.2718159e-11 -1.3485274e-11
    76 :  1.3293170e-15  9.4102776e-15 -1.1516145e-14
    77 :  2.0143219e-53 -6.8260069e-53  2.3341607e-53
    78 : -1.0701967e-68  4.7532073e-69  1.8482033e-69
    79 :  2.8641450e-66  8.9115999e-65 -4.4206481e-65
    80 : -3.7787673e-22  1.5147661e-21 -7.1958913e-22
    81 :  1.9017827e-72 -1.9711275e-72 -1.5570754e-74
    82 : -4.9791738e-27  9.9237961e-27 -1.5453614e-27
    83 : -3.8588405e-28  4.8765342e-28 -5.3208467e-29
    84 : -2.9781652e-52 -1.1581657e-52  1.9560944e-52
    85 : -1.9498790e-29  3.8350705e-29  3.3270003e-30
    86 :  1.6069005e-24  2.4256827e-24 -1.8742691e-24
    87 : -3.5176775e-03  6.2081133e-02 -9.4466885e-02
    88 :  3.9790707e-09  4.4520559e-09 -3.3409541e-09
    89 : -7.9071367e-06  2.3478999e-06  3.2576861e-06
    90 :  1.9468164e-74 -1.4102505e-73  1.0186402e-73
    91 : -4.6221581e-32  1.7450376e-33  4.2302763e-32
    92 : -4.4191184e-43  1.1050889e-42 -3.2306993e-43
    93 :  1.5618216e-01  3.5160323e-01  4.2382277e-01
    94 :  5.3559867e-02  1.6788366e-01  6.8637400e-02
    95 :  1.5320190e-36 -3.9914880e-36  7.1103491e-36
    96 :  1.3129899e-15  1.4379794e-16 -1.6776970e-15
    97 :  4.5761219e-60 -3.3993077e-60 -6.5123078e-61
    98 :  8.2398408e-63 -1.0793478e-63 -6.0391533e-63
    99 : -8.2439424e-78  7.6163488e-77 -1.7632648e-76
   100 : -3.3574829e-07  2.4451992e-07  8.6644389e-07
   101 : -1.4474781e-18  2.9476431e-18 -7.3720629e-19
   102 :  1.3489004e-67 -1.2980192e-67  1.3358627e-67
   103 : -1.7648765e-77  9.2019915e-77 -3.6990630e-77
   104 :  1.8099889e-70 -1.2499518e-69  6.5671229e-70
   105 : -1.7345662e-11 -5.3790012e-11  3.0186466e-10
   106 : -2.2804643e-11  1.9196893e-11 -4.4741488e-11
   107 : -3.6100820e-45  4.4534213e-46  8.9718250e-46
   108 :  1.1392239e-11 -5.3397816e-13 -3.1770431e-12
   109 : -1.3074564e-68 -9.2525076e-69  1.0932350e-68
   110 :  2.2066509e-15  2.6497798e-15 -9.3287232e-15
   111 : -7.8492659e-26 -2.2692099e-26  4.7021246e-26
   112 :  3.7080213e-79  3.8670978e-80 -7.9326492e-79
   113 : -1.3756115e-49  7.1216372e-50 -1.1733319e-50
   114 :  7.8821319e-13 -6.4516149e-13 -1.5383793e-12
   115 :  4.1831390e-02  5.1496545e-02 -3.4979819e-02
   116 : -1.5377712e-40  5.6182703e-41  3.8037233e-41
   117 : -4.4919428e-20 -1.4553440e-20  2.7043428e-20
   118 : -1.3689167e-72  1.1832098e-72  1.6039546e-72
   119 : -7.9464717e-10 -1.9599823e-09  1.4968844e-10
   120 :  4.6972212e-64  4.1083242e-64 -1.3759666e-63
   121 :  3.8592884e-36  1.2169971e-37 -8.3412679e-36
   122 : -6.6146166e-87 -1.4447294e-87  3.9406788e-87
   123 :  9.5173824e-01  8.2773323e-01  8.3089039e-02
   124 :  6.9517209e-27  5.3246588e-26 -6.7640991e-26
   125 :  3.9145578e-19 -6.2451503e-19 -2.2176714e-19
   126 : -3.0918353e-01  4.0655607e-02 -6.1332805e-03
   127 :  3.3660436e-01  1.9889518e-01  5.6375910e-02
   128 : -1.9192943e-46  4.8497234e-46 -7.3612943e-47
