Number of elements 2948
     0 : -2.9778487e-44  8.4900461e-44 -2.7840327e-44
     1 : -3.9382768e-46 -9.3389408e-47  8.2312678e-48
     2 : -1.6904878e-48  4.2787545e-48 -1.2857087e-48
     3 :  4.4431605e-26  1.4852917e-26 -1.2574717e-25
     4 :  4.0973712e-07  1.2687764e-06 -7.5558947e-07
     5 :  2.5420729e-61  1.7459554e-61 -6.0870137e-61
     6 : -3.0777784e-83  4.5586085e-83  1.5987367e-83
     7 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
     8 :  2.2879268e-72 -1.8601075e-72  1.4603734e-72
     9 :  3.0814105e-44 -1.4191542e-43  7.3032646e-44
    10 : 1.1051366e-122 6.1574218e-123 -2.5778983e-122
    11 : 1.2729658e-105 -4.3140636e-106 -4.2073832e-106
    12 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    13 :  2.1238175e-80 -3.4742043e-80 -7.7719011e-81
    14 :  6.8429243e-09 -4.9167207e-09 -1.1563078e-08
    15 :  1.7507223e-35  1.4355293e-35 -5.0085027e-35
    16 : -1.9075785e-86  2.9063690e-86  9.1107173e-87
    17 : -2.9831149e-12  9.0367555e-13  5.2672646e-12
    18 :  1.3822980e-46 -3.1916498e-47 -7.1548836e-47
    19 : -6.7969304e-100 2.8058725e-100 1.9925921e-100
    20 :  6.4897064e-83 -2.9099171e-83 -1.0070825e-82
    21 :  2.6651634e-36 -1.0734486e-35  1.8918356e-35
    22 :  4.5436498e-97  3.8504128e-97 -1.2208652e-96
    23 :  3.5367327e-28 -2.5200325e-27  9.4282360e-28
    24 : -5.4152731e-29  3.9332375e-29  6.5258237e-30
    25 : 3.8452207e-107 -2.7808272e-107 1.7218655e-107
    26 : -2.8839102e-22  7.2933270e-22 -1.3865833e-22
    27 : -1.9582424e-39 -3.1371464e-39  2.0497554e-39
    28 : -1.8698334e-18 -3.3007863e-19  2.6316962e-18
    29 : -1.1300157e-102 1.0720916e-104 1.1085714e-102
    30 :  2.2437661e-54  2.1583870e-54 -2.1461299e-54
    31 : -2.6775875e-21 -5.1470750e-21  1.3568296e-20
    32 : -3.3915521e-82 -1.3094216e-81  8.2373935e-82
    33 : -7.6766198e-76  2.1059403e-76  3.4363109e-76
    34 : -3.1447955e-34  2.2057634e-35  5.9864091e-34
    35 : -4.3688854e-42  1.5013337e-42  1.3732189e-42
    36 : -1.7938341e-19  1.3886743e-19 -3.4156732e-20
    37 :  5.8482547e-80 -1.1092052e-79 -5.7937708e-81
    38 :  1.9381776e-27 -1.5579335e-27 -1.8473748e-28
    39 : -5.7347443e-44  5.2873863e-44  4.7784543e-44
    40 :  2.2875887e-64  1.6866162e-64 -5.6944153e-64
    41 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    42 : -2.3165804e-31  2.6994895e-33  1.1222484e-31
    43 :  2.1963834e-25  2.8030393e-25 -7.0804307e-25
    44 : -2.5521998e-06  3.5578274e-06  1.9101060e-06
    45 : -6.9004162e-102 6.1896805e-102 -5.4932229e-102
    46 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    47 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    48 : -5.9386037e-115 1.7525925e-115 2.4321873e-115
    49 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    50 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    51 : -3.7483396e-104 -1.5847327e-103 2.8326431e-103
    52 :  7.8171231e-33 -2.4987038e-33 -2.7580440e-33
    53 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    54 : -1.2496001e-46 -2.1294806e-46  1.6208780e-46
    55 :  4.9382686e-91 -3.6643189e-91 -6.2407027e-92
    56 :  8.7079437e-13  3.8856412e-13 -6.2373891e-13
    57 : -5.2160019e-60  3.8863278e-60  6.5902437e-60
    58 : -8.6897855e-05  5.1632345e-04 -1.5409910e-04
    59 : -8.1271350e-53 -2.0839851e-53  1.2410014e-52
    60 : -3.9939136e-79  2.0432075e-78 -8.2041648e-79
    61 :  6.8284935e-75 -6.2185875e-76 -1.2832678e-74
    62 : -1.4344084e-22  1.5025463e-23  1.1172467e-22
    63 : -2.5487525e-19  1.1529110e-19  6.3193301e-20
    64 : -4.8227683e-117 -6.0205998e-117 5.4189402e-117
    65 : 9.3184906e-119 8.2138913e-119 -9.7991436e-119
    66 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    67 : -5.0016681e-18  1.5318370e-18  1.6745186e-18
    68 : -1.1005207e-41 -5.9644584e-42  8.4067307e-42
    69 : -1.0046417e-36 -4.9158483e-37  7.4330311e-37
